platform,campaign_id,adset_id,ad_id,ad_name,creative_id,ad_quality_latent
Meta,C_CT2CXIFS,AS_8X76RKQ4,AD_Z9XFZAQ8,How-to | Collection | 1,CR_N1U322N6,0.605
Meta,C_57TCOZDA,AS_J2E42TRD,AD_DXSEF6Y3,How-to | Collection | 1,CR_1W103DGD,0.509
Meta,C_57TCOZDA,AS_J2E42TRD,AD_9C2MU46J,How-to | Carousel | 2,CR_YY37Q9AH,0.665
Meta,C_D2GVF6LC,AS_XSY0VDVE,AD_JVFJWTZI,How-to | Collection | 1,CR_N1U322N6,0.59
Meta,C_D2GVF6LC,AS_XSY0VDVE,AD_FT9YVI7F,Offer | Collection | 2,CR_1N8MTZX2,0.593
Meta,C_D2GVF6LC,AS_XSY0VDVE,AD_16XBXTLN,UGC | Image | 3,CR_B9M80O2R,0.683
Meta,C_D2GVF6LC,AS_XSY0VDVE,AD_V5MOIJES,How-to | Video | 4,CR_F1RCAVIQ,0.575
Meta,C_D2GVF6LC,AS_G687CVIY,AD_0XP2S2O8,UGC | Image | 1,CR_B9M80O2R,0.654
Meta,C_D2GVF6LC,AS_G687CVIY,AD_PT4MX23S,Product Demo | Image | 2,CR_YR0QF4B8,0.653
Meta,C_D2GVF6LC,AS_Y670KMIQ,AD_FKR26J1F,How-to | Collection | 1,CR_UZRENUN5,0.475
Meta,C_D2GVF6LC,AS_Y670KMIQ,AD_O2WB0DZ6,Offer | Collection | 2,CR_1VRJNVGF,0.58
Meta,C_D2GVF6LC,AS_Y670KMIQ,AD_XPYFXOBU,Lifestyle | Image | 3,CR_JAG1OL73,0.614
Meta,C_GVJICS4I,AS_BQNJ971H,AD_3EH58B6P,How-to | Collection | 1,CR_VUHT6T0U,0.584
Meta,C_GVJICS4I,AS_BQNJ971H,AD_JS1AWP0L,Offer | Image | 2,CR_5BHXTPDP,0.545
Meta,C_GVJICS4I,AS_BQNJ971H,AD_F7XE7866,How-to | Carousel | 3,CR_DOECVE6P,0.657
Meta,C_GVJICS4I,AS_9BY4CYXQ,AD_GVICW8VL,Lifestyle | Image | 1,CR_T6MJXK87,0.501
Meta,C_GVJICS4I,AS_9BY4CYXQ,AD_34LIE3CS,Offer | Collection | 2,CR_1N8MTZX2,0.581
Meta,C_GVJICS4I,AS_9BY4CYXQ,AD_MCMCUT6Z,Product Demo | Image | 3,CR_9IM0YLTZ,0.686
Meta,C_GVJICS4I,AS_9BY4CYXQ,AD_84QCMSWD,Testimonial | Video | 4,CR_PGW90JPK,0.623
Meta,C_VRHX1Z2Y,AS_7RF1F1L8,AD_21K2W2CW,UGC | Image | 1,CR_PE29GD8A,0.75
Meta,C_VRHX1Z2Y,AS_7RF1F1L8,AD_1RDEZX6K,Product Demo | Collection | 2,CR_M3WTOOBM,0.74
Meta,C_VRHX1Z2Y,AS_7RF1F1L8,AD_BJ2CIEPX,Offer | Image | 3,CR_N8I4P40M,0.704
Meta,C_VRHX1Z2Y,AS_XYCJ2XX2,AD_RPHBL57Y,Product Demo | Video | 1,CR_K42QPR75,0.674
Meta,C_VRHX1Z2Y,AS_XYCJ2XX2,AD_9HQQ2NS5,Offer | Image | 2,CR_N8I4P40M,0.696
Meta,C_VRHX1Z2Y,AS_XYCJ2XX2,AD_MHIE2L2F,UGC | Video | 3,CR_FS6VFPTO,0.797
Meta,C_VRHX1Z2Y,AS_UWE98STK,AD_IP5BX9X3,UGC | Image | 1,CR_B9M80O2R,0.77
Meta,C_VRHX1Z2Y,AS_UWE98STK,AD_9IFETZ47,UGC | Image | 2,CR_PK3YR9OU,0.762
Meta,C_00EIUE23,AS_16DH7JTK,AD_QM9RIT8F,How-to | Collection | 1,CR_N1U322N6,0.726
Meta,C_00EIUE23,AS_16DH7JTK,AD_6KJKVCBF,Product Demo | Video | 2,CR_K42QPR75,0.723
Meta,C_00EIUE23,AS_CQN0B58S,AD_EDK2043N,Product Demo | Collection | 1,CR_I3LDQYUN,0.863
Meta,C_00EIUE23,AS_CQN0B58S,AD_VJUUWZIX,Testimonial | Image | 2,CR_88O5OR15,0.684
Meta,C_00EIUE23,AS_CQN0B58S,AD_69GUP3HR,How-to | Image | 3,CR_7A9TGIQH,0.785
Meta,C_2PJGDSY0,AS_K5635T5B,AD_WDDS54S8,Lifestyle | Video | 1,CR_T3UEA3GE,0.671
Meta,C_2PJGDSY0,AS_K5635T5B,AD_AG1IQXZX,Lifestyle | Carousel | 2,CR_5E8II49K,0.564
Meta,C_2PJGDSY0,AS_K5635T5B,AD_CZD9MX9S,How-to | Image | 3,CR_ZK3I8BZB,0.594
Meta,C_2PJGDSY0,AS_K5635T5B,AD_EY629RHI,How-to | Collection | 4,CR_N1U322N6,0.576
Meta,C_2PJGDSY0,AS_GZXV9XJM,AD_IV473J6I,How-to | Carousel | 1,CR_DOECVE6P,0.649
Meta,C_2PJGDSY0,AS_GZXV9XJM,AD_UUKZTV66,Product Demo | Collection | 2,CR_M3WTOOBM,0.584
Meta,C_85T4BXVH,AS_4QOD4K7Y,AD_2U0J0N06,Offer | Video | 1,CR_3S195JMS,0.584
Meta,C_85T4BXVH,AS_4QOD4K7Y,AD_4DI7N9U4,Lifestyle | Video | 2,CR_3XKXWNRE,0.586
Meta,C_85T4BXVH,AS_7YUL38V8,AD_9TOTSN5U,Testimonial | Image | 1,CR_054NZDKY,0.504
Meta,C_85T4BXVH,AS_7YUL38V8,AD_4W9RSH8Y,Lifestyle | Video | 2,CR_3XKXWNRE,0.633
Meta,C_85T4BXVH,AS_7YUL38V8,AD_ZWJSCSFW,How-to | Collection | 3,CR_VUHT6T0U,0.645
Meta,C_85T4BXVH,AS_2Q4NM8R9,AD_D7OODG0V,Lifestyle | Carousel | 1,CR_5E8II49K,0.625
Meta,C_85T4BXVH,AS_2Q4NM8R9,AD_4GIA9K04,Product Demo | Image | 2,CR_919AHEJ8,0.708
Meta,C_85T4BXVH,AS_4MSUSDFO,AD_5LSCATGV,Product Demo | Collection | 1,CR_JQIP98Q1,0.603
Meta,C_85T4BXVH,AS_4MSUSDFO,AD_S3875I63,Product Demo | Image | 2,CR_919AHEJ8,0.742
Meta,C_85T4BXVH,AS_4MSUSDFO,AD_RMHVK3QL,Lifestyle | Image | 3,CR_T6MJXK87,0.577
Meta,C_AVSMLZ16,AS_I4UPAQYP,AD_XPDH3TKZ,Product Demo | Image | 1,CR_9IM0YLTZ,0.77
Meta,C_AVSMLZ16,AS_I4UPAQYP,AD_6THSXOOI,Lifestyle | Video | 2,CR_T3UEA3GE,0.751
Meta,C_AVSMLZ16,AS_I4UPAQYP,AD_4J3X0948,How-to | Image | 3,CR_7A9TGIQH,0.706
Meta,C_AVSMLZ16,AS_NPF727XE,AD_8JKU72HN,How-to | Image | 1,CR_7A9TGIQH,0.63
Meta,C_AVSMLZ16,AS_NPF727XE,AD_5F62D3I6,How-to | Image | 2,CR_7A9TGIQH,0.674
Meta,C_AVSMLZ16,AS_NPF727XE,AD_03D93TBZ,Testimonial | Collection | 3,CR_CP4E30MY,0.649
Meta,C_AVSMLZ16,AS_NPF727XE,AD_QANEC1WE,How-to | Video | 4,CR_F1RCAVIQ,0.559
Google Ads,C_8DE4CS0L,AS_YYF8IWHL,AD_T3818YOP,Testimonial | Carousel | 1,CR_N0YBY4AW,0.526
Google Ads,C_8DE4CS0L,AS_YYF8IWHL,AD_3WJRMHC0,How-to | Collection | 2,CR_N1U322N6,0.585
Google Ads,C_8DE4CS0L,AS_BPNEGC2D,AD_I6SOUUPT,Lifestyle | Collection | 1,CR_I65FDHJK,0.571
Google Ads,C_8DE4CS0L,AS_BPNEGC2D,AD_J7O0TRD9,Product Demo | Collection | 2,CR_I3LDQYUN,0.805
Google Ads,C_8DE4CS0L,AS_L195DWY7,AD_84POTJ3D,Product Demo | Image | 1,CR_919AHEJ8,0.673
Google Ads,C_8DE4CS0L,AS_L195DWY7,AD_90097IYP,Testimonial | Image | 2,CR_QCG1WU16,0.696
Google Ads,C_QNVF2XF8,AS_CEM9N4NV,AD_NZP9USY3,Lifestyle | Image | 1,CR_JAG1OL73,0.672
Google Ads,C_QNVF2XF8,AS_CEM9N4NV,AD_8WTQX653,Product Demo | Collection | 2,CR_I3LDQYUN,0.703
Google Ads,C_QNVF2XF8,AS_G4UNXU0C,AD_0SJMVOYP,UGC | Video | 1,CR_FS6VFPTO,0.733
Google Ads,C_QNVF2XF8,AS_G4UNXU0C,AD_59VQ553K,Lifestyle | Video | 2,CR_HS1K3AQ6,0.667
Google Ads,C_QNVF2XF8,AS_G4UNXU0C,AD_WKI85L8D,UGC | Image | 3,CR_PE29GD8A,0.593
Google Ads,C_QNVF2XF8,AS_G4UNXU0C,AD_7CEDA0IO,UGC | Image | 4,CR_PE29GD8A,0.668
Google Ads,C_QNVF2XF8,AS_EJAN63XD,AD_90AB7R8S,UGC | Video | 1,CR_IG8F1CBF,0.686
Google Ads,C_QNVF2XF8,AS_EJAN63XD,AD_B61LGG7J,Lifestyle | Carousel | 2,CR_IWEPXSK2,0.594
Google Ads,C_QNVF2XF8,AS_EJAN63XD,AD_PM7QWRZF,Offer | Image | 3,CR_N8I4P40M,0.68
Google Ads,C_QNVF2XF8,AS_EJAN63XD,AD_XZ3POTFC,Offer | Collection | 4,CR_1VRJNVGF,0.605
Google Ads,C_FZYY94DA,AS_VG7CON4R,AD_UBNJZETK,UGC | Video | 1,CR_FS6VFPTO,0.61
Google Ads,C_FZYY94DA,AS_VG7CON4R,AD_PY8VYIF6,Testimonial | Video | 2,CR_PGW90JPK,0.604
Google Ads,C_FZYY94DA,AS_WDG1OEVZ,AD_W9Y1LYFS,Product Demo | Video | 1,CR_GPMM82I1,0.559
Google Ads,C_FZYY94DA,AS_WDG1OEVZ,AD_PEFRJYJY,How-to | Carousel | 2,CR_YY37Q9AH,0.63
Google Ads,C_FZYY94DA,AS_UXGFAT2X,AD_9960GBFW,Lifestyle | Carousel | 1,CR_IWEPXSK2,0.524
Google Ads,C_FZYY94DA,AS_UXGFAT2X,AD_9FUYAS0Y,Testimonial | Image | 2,CR_LV0PRKGY,0.563
Google Ads,C_FZYY94DA,AS_UXGFAT2X,AD_F9P7KYKI,UGC | Image | 3,CR_B9M80O2R,0.533
Google Ads,C_RTR5JEK1,AS_XQP5M3GI,AD_2V1ITUM4,Product Demo | Collection | 1,CR_I3LDQYUN,0.773
Google Ads,C_RTR5JEK1,AS_XQP5M3GI,AD_ULZUS5PU,Product Demo | Collection | 2,CR_I3LDQYUN,0.739
Google Ads,C_RTR5JEK1,AS_XQP5M3GI,AD_YRZXHM8L,Product Demo | Collection | 3,CR_I3LDQYUN,0.83
Google Ads,C_RTR5JEK1,AS_9B3N2SE0,AD_J1YE24Z8,Product Demo | Video | 1,CR_GPMM82I1,0.701
Google Ads,C_RTR5JEK1,AS_9B3N2SE0,AD_608CX8FG,Testimonial | Image | 2,CR_QCG1WU16,0.683
Google Ads,C_RTR5JEK1,AS_9B3N2SE0,AD_PWKCZV1G,Offer | Video | 3,CR_8DUDD467,0.654
Google Ads,C_RTR5JEK1,AS_9B3N2SE0,AD_AGQO679O,Testimonial | Image | 4,CR_88O5OR15,0.64
Google Ads,C_2XZ36JWB,AS_HJWTV3N7,AD_ETCHBVGK,Lifestyle | Video | 1,CR_3XKXWNRE,0.617
Google Ads,C_2XZ36JWB,AS_HJWTV3N7,AD_P7L9KV91,How-to | Collection | 2,CR_1W103DGD,0.626
Google Ads,C_2XZ36JWB,AS_HJWTV3N7,AD_3OZLL1ZB,Lifestyle | Video | 3,CR_HS1K3AQ6,0.717
Google Ads,C_2XZ36JWB,AS_M21YANNR,AD_UM3HQ57U,Lifestyle | Video | 1,CR_T3UEA3GE,0.692
Google Ads,C_2XZ36JWB,AS_M21YANNR,AD_YZHWW3LT,UGC | Video | 2,CR_IG8F1CBF,0.737
Google Ads,C_2XZ36JWB,AS_M21YANNR,AD_FIUHPTHL,Lifestyle | Video | 3,CR_HS1K3AQ6,0.639
Google Ads,C_XJ6Y0IY1,AS_K5SILU2D,AD_6505025K,Product Demo | Collection | 1,CR_M3WTOOBM,0.729
Google Ads,C_XJ6Y0IY1,AS_K5SILU2D,AD_FBOSCRO8,Lifestyle | Video | 2,CR_3XKXWNRE,0.626
Google Ads,C_XJ6Y0IY1,AS_K5SILU2D,AD_SK3596HH,How-to | Carousel | 3,CR_WQC38HYF,0.79
Google Ads,C_XJ6Y0IY1,AS_K5SILU2D,AD_R8X8C28N,How-to | Collection | 4,CR_1W103DGD,0.566
Google Ads,C_XJ6Y0IY1,AS_1GPTC2QW,AD_1KINNDW8,UGC | Image | 1,CR_PE29GD8A,0.711
Google Ads,C_XJ6Y0IY1,AS_1GPTC2QW,AD_R8KUSSR6,How-to | Image | 2,CR_7A9TGIQH,0.769
Google Ads,C_XJ6Y0IY1,AS_1GPTC2QW,AD_GI0DRIIP,Lifestyle | Video | 3,CR_3XKXWNRE,0.711
Google Ads,C_XJ6Y0IY1,AS_1GPTC2QW,AD_JUPZ5JR0,Lifestyle | Image | 4,CR_T6MJXK87,0.691
Google Ads,C_XJ6Y0IY1,AS_Y2EFZ6RX,AD_3WE8ZN1N,Offer | Video | 1,CR_3S195JMS,0.665
Google Ads,C_XJ6Y0IY1,AS_Y2EFZ6RX,AD_5RUSV9I5,UGC | Image | 2,CR_PK3YR9OU,0.689
Google Ads,C_XJ6Y0IY1,AS_Y2EFZ6RX,AD_VDCG3BHK,How-to | Collection | 3,CR_1W103DGD,0.626
Google Ads,C_XJ6Y0IY1,AS_Y2EFZ6RX,AD_23A1MITK,Lifestyle | Image | 4,CR_T6MJXK87,0.702
Google Ads,C_XJ6Y0IY1,AS_RFXQFXKD,AD_GAN4EIO7,Offer | Collection | 1,CR_1VRJNVGF,0.639
Google Ads,C_XJ6Y0IY1,AS_RFXQFXKD,AD_2AAVH1I4,Lifestyle | Image | 2,CR_JAG1OL73,0.666
Google Ads,C_XJ6Y0IY1,AS_RFXQFXKD,AD_EOYFGGUX,UGC | Video | 3,CR_IG8F1CBF,0.73
Google Ads,C_XJ6Y0IY1,AS_RFXQFXKD,AD_TIYIJE7A,UGC | Video | 4,CR_FS6VFPTO,0.784
Google Ads,C_K2WNJ02N,AS_YW1UIPRF,AD_BTN76MZS,Product Demo | Video | 1,CR_K42QPR75,0.644
Google Ads,C_K2WNJ02N,AS_YW1UIPRF,AD_DP5YHP5E,Product Demo | Image | 2,CR_9IM0YLTZ,0.77
Google Ads,C_K2WNJ02N,AS_YW1UIPRF,AD_7AXUIY0X,Lifestyle | Image | 3,CR_FLEEPZHP,0.724
Google Ads,C_K2WNJ02N,AS_YW1UIPRF,AD_8L4EBEAQ,Lifestyle | Video | 4,CR_HS1K3AQ6,0.697
Google Ads,C_K2WNJ02N,AS_NCDZ6S60,AD_FTF6NJ8U,Product Demo | Image | 1,CR_ERW6Z8VB,0.561
Google Ads,C_K2WNJ02N,AS_NCDZ6S60,AD_ZET1PDPF,Testimonial | Video | 2,CR_PGW90JPK,0.711
Google Ads,C_K2WNJ02N,AS_NCDZ6S60,AD_1H3DTLHA,Product Demo | Image | 3,CR_YR0QF4B8,0.7
Google Ads,C_K2WNJ02N,AS_IAK5W77Q,AD_1R7EQE53,Product Demo | Collection | 1,CR_I3LDQYUN,0.82
Google Ads,C_K2WNJ02N,AS_IAK5W77Q,AD_6XD5KXKQ,Testimonial | Video | 2,CR_PGW90JPK,0.703
Google Ads,C_K2WNJ02N,AS_IAK5W77Q,AD_GHO6ACAP,Testimonial | Carousel | 3,CR_MQC1A78M,0.725
Google Ads,C_K2WNJ02N,AS_C4XYJLC9,AD_UREXH6DL,Lifestyle | Carousel | 1,CR_IWEPXSK2,0.656
Google Ads,C_K2WNJ02N,AS_C4XYJLC9,AD_O7CZE3ST,How-to | Carousel | 2,CR_WQC38HYF,0.821
Google Ads,C_K2WNJ02N,AS_C4XYJLC9,AD_UF93AXMS,UGC | Video | 3,CR_IG8F1CBF,0.737
Google Ads,C_K2WNJ02N,AS_C4XYJLC9,AD_TP3X5M8P,Testimonial | Carousel | 4,CR_N0YBY4AW,0.585
Google Ads,C_JA0BO8WA,AS_TGN7P05D,AD_X3FG6IZE,How-to | Collection | 1,CR_N1U322N6,0.528
Google Ads,C_JA0BO8WA,AS_TGN7P05D,AD_D1IPSQUZ,How-to | Image | 2,CR_7A9TGIQH,0.638
Google Ads,C_JA0BO8WA,AS_TGN7P05D,AD_UU2ROEMI,UGC | Image | 3,CR_PE29GD8A,0.579
Google Ads,C_JA0BO8WA,AS_TGN7P05D,AD_GJGK23U0,How-to | Collection | 4,CR_1W103DGD,0.557
Google Ads,C_JA0BO8WA,AS_H8WN2T3Q,AD_UJFPWZ6D,Offer | Image | 1,CR_N8I4P40M,0.619
Google Ads,C_JA0BO8WA,AS_H8WN2T3Q,AD_TQLBZ299,Product Demo | Image | 2,CR_YR0QF4B8,0.675
Google Ads,C_JA0BO8WA,AS_PG3GIHAD,AD_QEBEM2IF,Product Demo | Collection | 1,CR_I3LDQYUN,0.713
Google Ads,C_JA0BO8WA,AS_PG3GIHAD,AD_VHC3DK1Z,UGC | Carousel | 2,CR_9J1ICTXC,0.584
Google Ads,C_JA0BO8WA,AS_PG3GIHAD,AD_5BY1LWNL,Product Demo | Collection | 3,CR_I3LDQYUN,0.725
Google Ads,C_JA0BO8WA,AS_PG3GIHAD,AD_RR2JCPS5,Product Demo | Collection | 4,CR_JQIP98Q1,0.516
Google Ads,C_JA0BO8WA,AS_094DFRYI,AD_W485W6UY,Product Demo | Video | 1,CR_GPMM82I1,0.653
Google Ads,C_JA0BO8WA,AS_094DFRYI,AD_RLBUOBRD,Offer | Video | 2,CR_3S195JMS,0.579
Google Ads,C_JA0BO8WA,AS_094DFRYI,AD_47WOKGPP,Lifestyle | Carousel | 3,CR_5E8II49K,0.603
TikTok,C_R8DOYWLL,AS_BWJM58TL,AD_74AVMIVL,Testimonial | Image | 1,CR_LV0PRKGY,0.6
TikTok,C_R8DOYWLL,AS_BWJM58TL,AD_UDBJJH7X,Testimonial | Carousel | 2,CR_MQC1A78M,0.606
TikTok,C_R8DOYWLL,AS_EXZGVTUI,AD_9WOLYTSI,Lifestyle | Video | 1,CR_T3UEA3GE,0.643
TikTok,C_R8DOYWLL,AS_EXZGVTUI,AD_LAZCLUOG,Lifestyle | Carousel | 2,CR_5E8II49K,0.51
TikTok,C_R8DOYWLL,AS_EXZGVTUI,AD_5JVEPWUK,Testimonial | Collection | 3,CR_YJNE00V8,0.508
TikTok,C_R8DOYWLL,AS_EXZGVTUI,AD_FV2AQNPE,How-to | Collection | 4,CR_1W103DGD,0.443
TikTok,C_R8DOYWLL,AS_WQGADY20,AD_4OK2ECSB,Offer | Collection | 1,CR_1N8MTZX2,0.553
TikTok,C_R8DOYWLL,AS_WQGADY20,AD_UQGEVKYK,How-to | Collection | 2,CR_VUHT6T0U,0.563
TikTok,C_R8DOYWLL,AS_E9FV4B1K,AD_M098QSTP,Offer | Collection | 1,CR_1VRJNVGF,0.527
TikTok,C_R8DOYWLL,AS_E9FV4B1K,AD_GDZ95JDX,Product Demo | Collection | 2,CR_JRSNVNQ6,0.499
TikTok,C_A1FS4MGB,AS_4HTZ45QF,AD_2CQ23QOR,Offer | Collection | 1,CR_1N8MTZX2,0.506
TikTok,C_A1FS4MGB,AS_4HTZ45QF,AD_DJGFW80O,Testimonial | Video | 2,CR_PGW90JPK,0.543
TikTok,C_A1FS4MGB,AS_9DY7084P,AD_2LKNMIC1,How-to | Video | 1,CR_F1RCAVIQ,0.463
TikTok,C_A1FS4MGB,AS_9DY7084P,AD_F1MJQUEF,Offer | Image | 2,CR_N8I4P40M,0.551
TikTok,C_Y9Z9UR73,AS_JGGGS8W0,AD_LRZJZCZV,Product Demo | Image | 1,CR_ERW6Z8VB,0.523
TikTok,C_Y9Z9UR73,AS_JGGGS8W0,AD_PD4RXBVT,Offer | Image | 2,CR_5BHXTPDP,0.64
TikTok,C_Y9Z9UR73,AS_TR5GOIT2,AD_2N057XD6,UGC | Video | 1,CR_ESPRVU8F,0.693
TikTok,C_Y9Z9UR73,AS_TR5GOIT2,AD_KET6ZI7B,Lifestyle | Collection | 2,CR_I65FDHJK,0.619
TikTok,C_LMMDPC3D,AS_6ZHBPX52,AD_FSBYDKNO,How-to | Collection | 1,CR_VUHT6T0U,0.655
TikTok,C_LMMDPC3D,AS_6ZHBPX52,AD_ONR06BA4,Testimonial | Image | 2,CR_LV0PRKGY,0.659
TikTok,C_LMMDPC3D,AS_6ZHBPX52,AD_ILAOQTR1,How-to | Collection | 3,CR_N1U322N6,0.618
TikTok,C_LMMDPC3D,AS_YW3QN3T7,AD_STG4EVRU,Offer | Video | 1,CR_3S195JMS,0.612
TikTok,C_LMMDPC3D,AS_YW3QN3T7,AD_RQTMJ7PD,Offer | Image | 2,CR_N8I4P40M,0.628
TikTok,C_LMMDPC3D,AS_YW3QN3T7,AD_ZUIB5SQ0,Testimonial | Collection | 3,CR_CP4E30MY,0.574
TikTok,C_LMMDPC3D,AS_YW3QN3T7,AD_ZYCMVO84,How-to | Collection | 4,CR_VUHT6T0U,0.605
TikTok,C_LMMDPC3D,AS_W6TK9LSG,AD_VFOWOT0V,Lifestyle | Image | 1,CR_FLEEPZHP,0.619
TikTok,C_LMMDPC3D,AS_W6TK9LSG,AD_XQS3H4DE,Offer | Video | 2,CR_3S195JMS,0.635
TikTok,C_LMMDPC3D,AS_W6TK9LSG,AD_4M6HY7T0,How-to | Video | 3,CR_F1RCAVIQ,0.575
TikTok,C_LMMDPC3D,AS_W6TK9LSG,AD_DJIMV03J,Product Demo | Video | 4,CR_GPMM82I1,0.727
TikTok,C_ULF5VLUD,AS_K5FI11Z1,AD_XAU7MBAP,Testimonial | Image | 1,CR_88O5OR15,0.527
TikTok,C_ULF5VLUD,AS_K5FI11Z1,AD_OWTIGY6T,Lifestyle | Carousel | 2,CR_5E8II49K,0.488
TikTok,C_ULF5VLUD,AS_K5FI11Z1,AD_KECTS377,Product Demo | Collection | 3,CR_JQIP98Q1,0.439
TikTok,C_ULF5VLUD,AS_K5FI11Z1,AD_V1IV5WMK,How-to | Image | 4,CR_OEVB9OOA,0.561
TikTok,C_ULF5VLUD,AS_ZBOOINB6,AD_DDGBDH02,How-to | Collection | 1,CR_UZRENUN5,0.433
TikTok,C_ULF5VLUD,AS_ZBOOINB6,AD_YH9Q4JNA,Offer | Collection | 2,CR_1N8MTZX2,0.497
TikTok,C_ULF5VLUD,AS_ZBOOINB6,AD_T0G7RI0G,Lifestyle | Video | 3,CR_3XKXWNRE,0.558
TikTok,C_ULF5VLUD,AS_ZBOOINB6,AD_6HSHG5MM,Product Demo | Collection | 4,CR_JQIP98Q1,0.505
TikTok,C_Q7MW0SKC,AS_PAAFH5JF,AD_SQ3DGLCS,Offer | Collection | 1,CR_1N8MTZX2,0.562
TikTok,C_Q7MW0SKC,AS_PAAFH5JF,AD_XU1HGCAI,Lifestyle | Carousel | 2,CR_5E8II49K,0.571
TikTok,C_Q7MW0SKC,AS_PAAFH5JF,AD_KVW2RFXV,How-to | Image | 3,CR_ZK3I8BZB,0.66
TikTok,C_Q7MW0SKC,AS_LHZZ3RY4,AD_042LYWBI,How-to | Video | 1,CR_F1RCAVIQ,0.549
TikTok,C_Q7MW0SKC,AS_LHZZ3RY4,AD_45H02CEQ,Lifestyle | Collection | 2,CR_H3I379U2,0.603
TikTok,C_Q7MW0SKC,AS_UA7OV77G,AD_DAK645KE,How-to | Collection | 1,CR_1W103DGD,0.599
TikTok,C_Q7MW0SKC,AS_UA7OV77G,AD_5UPVRD6O,UGC | Video | 2,CR_IG8F1CBF,0.695
TikTok,C_Q7MW0SKC,AS_UA7OV77G,AD_9YZPF322,How-to | Carousel | 3,CR_YY37Q9AH,0.731
TikTok,C_Q7MW0SKC,AS_UA7OV77G,AD_F52UH5BG,Testimonial | Image | 4,CR_LV0PRKGY,0.664
TikTok,C_Z0C99AFT,AS_XDO3V94X,AD_WS97XGCK,Product Demo | Image | 1,CR_YR0QF4B8,0.675
TikTok,C_Z0C99AFT,AS_XDO3V94X,AD_5I0GQMMH,UGC | Video | 2,CR_ESPRVU8F,0.645
TikTok,C_Z0C99AFT,AS_XDO3V94X,AD_ZN3MVG0C,UGC | Carousel | 3,CR_9J1ICTXC,0.678
