campaign_id,platform,impressions,clicks,conversions,spend,revenue
camp 3,generic,54,1,0,0.0723,0.0
camp 3,generic,82918,533,13,8.5739,1195.3097
camp 3,generic,7325,13,1,1.5326,128.4186
camp 3,generic,9037,67,2,7.402,458.0165
camp 3,generic,5524,33,4,2.4892,145.7912
camp 3,generic,25346,62,9,8.8753,446.8068
camp 3,generic,9414,17,0,0.7765,0.0
camp 3,generic,3810,31,0,2.6574,0.0
camp 3,generic,459,8,0,0.1932,0.0
camp 3,generic,24730,34,0,0.6839,0.0
camp 3,generic,26007,86,0,2.7446,0.0
camp 3,generic,17962,315,3,13.865,339.5186
camp 3,generic,4265,61,0,1.8812,0.0
camp 3,generic,59998,180,2,4.4489,201.9655
camp 3,generic,4967,19,0,1.7042,0.0
camp 3,generic,1273,13,0,0.7603,0.0
camp 3,generic,293,1,0,0.1758,0.0
camp 3,generic,30737,94,7,8.1757,768.5861
camp 3,generic,1,0,0,0.0025,0.0
camp 3,generic,12292,63,0,0.9557,0.0
camp 3,generic,831,9,0,0.4489,0.0
camp 3,generic,3,0,0,0.0011,0.0
camp 3,generic,66100,118,7,2.7654,463.3167
camp 3,generic,4,1,0,0.008,0.0
camp 3,generic,21214,126,1,2.9495,3.9307
camp 3,generic,2866,69,0,1.5827,0.0
camp 3,generic,44,1,0,0.0227,0.0
camp 3,generic,116957,418,3,9.17,216.6186
camp 3,generic,111,0,0,0.0177,0.0
camp 3,generic,1,0,0,0.0003,0.0
camp 3,generic,330,0,0,0.0217,0.0
camp 3,generic,210,0,0,0.0141,0.0
camp 3,generic,4,0,0,0.0015,0.0
camp 3,generic,363,0,0,0.0036,0.0
camp 3,generic,421,3,0,0.0278,0.0
camp 3,generic,7,0,0,0.0027,0.0
camp 3,generic,893,1,0,0.0148,0.0
camp 3,generic,7540,32,0,3.1057,0.0
camp 3,generic,10045,73,0,0.752,0.0
camp 3,generic,23157,248,1,3.0873,66.9636
camp 3,generic,485,0,0,0.1478,0.0
camp 3,generic,115,1,0,0.0928,0.0
camp 3,generic,28,0,0,0.0178,0.0
camp 3,generic,1978,2,0,0.3535,0.0
camp 3,generic,368,3,0,0.0392,0.0
camp 3,generic,44,0,0,0.0411,0.0
camp 3,generic,5,0,0,0.0026,0.0
camp 3,generic,2852,8,0,0.0522,0.0
camp 3,generic,2313,8,0,0.3211,0.0
camp 3,generic,146,1,0,0.1441,0.0
camp 3,generic,78,2,0,0.0445,0.0
camp 3,generic,7479,5,0,0.2922,0.0
camp 3,generic,7601,23,1,1.6849,185.3349
camp 3,generic,1274,7,0,1.4142,0.0
camp 3,generic,1960,8,0,0.7769,0.0
camp 3,generic,37014,105,9,7.8852,462.9524
camp 3,generic,2,0,0,0.0021,0.0
camp 3,generic,12477,63,0,1.1348,0.0
camp 3,generic,550,4,0,0.5864,0.0
camp 3,generic,150,0,0,0.0445,0.0
camp 3,generic,91468,316,2,3.836,561.1487
camp 3,generic,2,0,0,0.003,0.0
camp 3,generic,29216,146,1,3.4209,8.6485
camp 3,generic,1737,17,0,1.6859,0.0
camp 3,generic,1852,9,0,0.617,0.0
camp 3,generic,174462,707,1,12.3332,136.5586
camp 3,generic,2,0,0,0.0001,0.0
camp 3,generic,1,0,0,0.0,0.0
camp 1,generic,2,0,0,0.005,0.0
camp 1,generic,17332,140,26,19.7963,1921.272
camp 1,generic,14288,151,59,26.2022,3860.1421
camp 1,generic,154658,1509,542,180.7481,23994.6771
camp 1,generic,341,0,0,0.039,0.0
camp 1,generic,10,0,0,0.0131,0.0
camp 1,generic,2083,3,2,0.3635,51.5584
camp 1,generic,2261,2,0,0.953,0.0
camp 1,generic,502,3,0,0.8465,0.0
camp 1,generic,17427,159,37,8.2093,2403.4922
camp 1,generic,48847,305,43,43.9118,3552.283
camp 1,generic,304804,7767,2187,275.3454,113046.5668
camp 1,generic,54447,528,175,24.8181,8840.9398
camp 1,generic,187529,1633,672,312.1415,31683.7408
camp 1,generic,422,1,0,0.0556,0.0
camp 1,generic,940,18,3,0.7412,126.8199
camp 1,generic,314,1,0,0.1325,0.0
camp 1,generic,1580,3,0,0.3519,0.0
camp 1,generic,5354,12,1,1.8911,13.3345
camp 1,generic,16728,436,40,14.406,1973.808
camp 1,generic,3892,43,8,1.7273,424.1517
camp 1,generic,15017,118,24,9.845,1376.4896
camp 1,generic,6,0,0,0.0165,0.0
camp 1,generic,41896,277,102,45.4333,4162.0391
camp 1,generic,70071,1325,361,46.7762,14883.7289
camp 1,generic,5132,26,13,2.8429,971.9768
camp 1,generic,235317,1844,896,275.17,77490.5358
camp 1,generic,1,0,0,0.0008,0.0
camp 1,generic,424,3,0,0.1294,0.0
camp 1,generic,216,5,0,0.1213,0.0
camp 1,generic,12,0,0,0.0077,0.0
camp 1,generic,2745,6,0,0.4702,0.0
camp 1,generic,1,0,0,0.002,0.0
camp 1,generic,4324,22,2,2.9404,58.5481
camp 1,generic,3171,99,10,1.9555,88.1188
camp 1,generic,230,1,1,0.1307,150.8711
camp 1,generic,23404,142,14,11.9484,520.8722
camp 1,generic,1076,4,0,0.5295,0.0
camp 1,generic,350,0,0,0.1354,0.0
camp 1,generic,9,0,0,0.0057,0.0
camp 1,generic,3432,9,17,1.7688,1808.8476
camp 1,generic,5,0,0,0.0004,0.0
camp 1,generic,26,0,0,0.0016,0.0
camp 1,generic,86,0,0,0.0349,0.0
camp 1,generic,27,0,0,0.0104,0.0
camp 1,generic,372,0,0,0.0785,0.0
camp 1,generic,45327,889,453,110.5201,19132.9713
camp 1,generic,375,5,0,0.1191,0.0
camp 1,generic,3669,48,5,3.9015,144.5778
camp 1,generic,4491,49,30,7.9513,576.9186
camp 1,generic,16534,135,99,12.9019,2985.5434
camp 1,generic,274,1,0,0.1868,0.0
camp 1,generic,16974,146,51,22.8296,2221.0902
camp 1,generic,39,1,0,0.0069,0.0
camp 1,generic,21,1,0,0.0105,0.0
camp 1,generic,155,0,0,0.021,0.0
camp 1,generic,418,9,0,0.3983,0.0
camp 1,generic,995,5,0,0.6479,0.0
camp 1,generic,29,0,0,0.0207,0.0
camp 1,generic,1494,16,1,0.7487,241.2338
camp 1,generic,13,0,0,0.0176,0.0
camp 1,generic,68761,442,130,76.9999,7581.738
camp 1,generic,206356,2910,1064,266.9145,47941.3027
camp 1,generic,23526,176,82,10.2019,1995.7442
camp 1,generic,362969,2384,912,339.7693,44394.7214
camp 1,generic,637,1,0,0.122,0.0
camp 1,generic,276,4,1,0.3279,218.2788
camp 1,generic,108,0,0,0.0422,0.0
camp 1,generic,4194,9,4,0.6476,230.4656
camp 1,generic,6857,27,6,3.4406,167.133
camp 1,generic,9083,116,18,10.9614,693.3314
camp 1,generic,1972,22,2,0.8353,125.6464
camp 1,generic,39528,218,42,17.6408,1589.2214
camp 1,generic,4,0,0,0.0038,0.0
camp 2,generic,6347,19,0,0.4525,0.0
camp 2,generic,99,5,0,0.1353,0.0
camp 2,generic,54552,425,0,6.4353,0.0
camp 2,generic,1,0,0,0.0007,0.0
camp 2,generic,20551,225,3,4.472,134.3125
camp 2,generic,2372,42,0,3.5077,0.0
camp 2,generic,189214,4033,22,44.2336,1214.7213
camp 2,generic,11237,47,0,1.3907,0.0
camp 2,generic,18523,431,4,13.8797,189.1079
camp 2,generic,3967,55,1,1.6288,37.8933
camp 2,generic,40040,221,3,4.4069,518.4353
camp 2,generic,55529,809,4,12.8383,277.7942
camp 2,generic,166072,8098,128,138.1988,12831.1765
camp 2,generic,28532,668,8,12.0469,547.2576
camp 2,generic,172704,2199,21,47.6149,1179.8776
camp 2,generic,1,0,0,0.0008,0.0
camp 2,generic,11302,62,0,1.4426,0.0
camp 2,generic,5093,111,1,3.0733,236.4494
camp 2,generic,44,0,0,0.0237,0.0
camp 2,generic,73880,400,2,6.8814,172.0206
camp 2,generic,8,0,0,0.0135,0.0
camp 2,generic,36384,424,8,12.8919,671.5113
camp 2,generic,39240,1663,12,24.1564,1950.9304
camp 2,generic,1033,7,2,0.5741,124.0086
camp 2,generic,248532,2876,36,56.5878,1878.5456
camp 2,generic,444,2,0,0.0319,0.0
camp 2,generic,2,0,0,0.0007,0.0
camp 2,generic,712,2,0,0.0303,0.0
camp 2,generic,1242,8,0,0.174,0.0
camp 2,generic,92,0,0,0.0355,0.0
camp 2,generic,11,0,0,0.007,0.0
camp 2,generic,2585,30,0,0.2532,0.0
camp 2,generic,13697,300,3,2.5313,279.6255
camp 2,generic,45561,1991,29,20.2326,1374.6566
camp 2,generic,446,3,0,0.0748,0.0
camp 2,generic,272,4,0,0.1769,0.0
camp 2,generic,26,1,0,0.018,0.0
camp 2,generic,4372,40,0,0.2837,0.0
camp 2,generic,3268,52,0,1.3351,0.0
camp 2,generic,5673,86,1,4.1819,16.7004
camp 2,generic,307,3,0,0.2131,0.0
camp 2,generic,18579,199,5,3.4554,327.6117
camp 2,generic,12623,83,0,1.8648,0.0
camp 2,generic,3252,56,0,3.2628,0.0
camp 2,generic,1101,21,1,0.4937,73.946
camp 2,generic,97508,639,4,7.1139,455.2184
camp 2,generic,3,0,0,0.0045,0.0
camp 2,generic,59161,733,13,17.8118,836.4004
camp 2,generic,53181,1275,51,57.6423,4480.7984
camp 2,generic,10428,182,3,4.6824,89.1505
camp 2,generic,345652,5001,92,62.9539,5268.1471
camp 2,generic,1,0,0,0.0,0.0
camp 2,generic,16,0,0,0.005,0.0
camp 3,generic,2087,4,0,0.484,0.0
camp 3,generic,24,0,0,0.0305,0.0
camp 3,generic,20878,59,1,4.5295,150.6132
camp 3,generic,10818,28,0,0.5722,0.0
camp 3,generic,35,0,0,0.0477,0.0
camp 3,generic,41904,128,0,2.1724,0.0
camp 3,generic,3,0,0,0.0025,0.0
camp 3,generic,15075,45,0,1.2937,0.0
camp 3,generic,52,0,0,0.0655,0.0
camp 3,generic,87612,423,2,8.9646,78.9755
camp 3,generic,6106,7,0,1.3503,0.0
camp 3,generic,7386,70,7,5.8918,1798.2409
camp 3,generic,5732,23,1,2.4656,15.7847
camp 3,generic,23775,46,7,7.2244,795.1716
camp 3,generic,7880,20,0,0.6932,0.0
camp 3,generic,3527,20,0,2.2091,0.0
camp 3,generic,750,12,0,0.3028,0.0
camp 3,generic,25367,24,0,0.6779,0.0
camp 3,generic,22544,106,1,2.5777,43.816
camp 3,generic,16101,268,3,11.4173,816.7081
camp 3,generic,6042,57,1,2.5462,47.1738
camp 3,generic,57613,190,1,3.7999,257.6892
camp 3,generic,2,0,0,0.006,0.0
camp 3,generic,4660,17,1,1.536,122.4997
camp 3,generic,1428,21,1,0.8523,50.1915
camp 3,generic,190,0,0,0.1142,0.0
camp 3,generic,29493,109,8,7.7584,364.2366
camp 3,generic,2,0,0,0.005,0.0
camp 3,generic,14942,57,0,1.0693,0.0
camp 3,generic,1004,16,0,0.5262,0.0
camp 3,generic,1,0,0,0.0002,0.0
camp 3,generic,60076,116,1,2.1283,67.7043
camp 3,generic,2,0,0,0.002,0.0
camp 3,generic,24063,155,0,3.2141,0.0
camp 3,generic,3215,100,6,1.7313,404.5884
camp 3,generic,36,1,0,0.0146,0.0
camp 3,generic,111305,394,1,8.1166,18.3897
camp 3,generic,131,0,0,0.0195,0.0
camp 3,generic,3,0,0,0.0011,0.0
camp 3,generic,309,0,0,0.0199,0.0
camp 3,generic,410,1,0,0.0145,0.0
camp 3,generic,3,0,0,0.0011,0.0
camp 3,generic,245,0,0,0.0026,0.0
camp 3,generic,603,2,0,0.0409,0.0
camp 3,generic,6,0,0,0.0023,0.0
camp 3,generic,687,0,0,0.0128,0.0
camp 3,generic,6774,60,4,2.9994,1872.3933
camp 3,generic,10622,69,0,0.7727,0.0
camp 3,generic,22101,260,0,2.9882,0.0
camp 3,generic,381,1,1,0.1343,47.1867
camp 3,generic,139,1,0,0.0807,0.0
camp 3,generic,37,0,0,0.022,0.0
camp 3,generic,1812,2,0,0.3542,0.0
camp 3,generic,365,2,0,0.0384,0.0
camp 3,generic,34,0,0,0.0224,0.0
camp 3,generic,2,0,0,0.0011,0.0
camp 3,generic,2929,7,0,0.0559,0.0
camp 3,generic,2123,8,0,0.2978,0.0
camp 3,generic,134,0,0,0.108,0.0
camp 3,generic,77,0,0,0.0418,0.0
camp 3,generic,7066,8,0,0.2777,0.0
camp 3,generic,2,0,0,0.0029,0.0
camp 3,generic,7195,19,7,1.9523,496.1247
camp 3,generic,1282,13,1,1.2833,19.7696
camp 3,generic,1732,5,0,0.7641,0.0
camp 3,generic,33656,81,4,7.0117,120.5266
camp 3,generic,14646,53,0,1.5838,0.0
camp 3,generic,484,2,0,0.4663,0.0
camp 3,generic,126,1,0,0.0437,0.0
camp 3,generic,84823,257,0,2.8693,0.0
camp 3,generic,3,0,0,0.0045,0.0
camp 3,generic,32835,202,1,4.4763,92.9548
camp 3,generic,2012,19,1,1.7225,300.7363
camp 3,generic,1783,17,0,0.6901,0.0
camp 3,generic,167883,622,2,10.3721,116.4644
camp 3,generic,4,0,0,0.0007,0.0
camp 3,generic,11,0,0,0.0005,0.0
camp 3,generic,1,0,0,0.0001,0.0
camp 1,generic,6,0,0,0.0074,0.0
camp 1,generic,17827,175,22,23.7138,1201.0775
camp 1,generic,16053,151,51,29.1636,2611.986
camp 1,generic,172430,1573,732,205.8287,29422.6545
camp 1,generic,1,0,0,0.0007,0.0
camp 1,generic,334,0,0,0.0548,0.0
camp 1,generic,24,0,0,0.0397,0.0
camp 1,generic,2095,5,0,0.3741,0.0
camp 1,generic,2163,5,0,1.1582,0.0
camp 1,generic,655,3,0,1.081,0.0
camp 1,generic,19820,142,12,8.4902,993.1305
camp 1,generic,53913,342,99,49.3065,5344.1679
camp 1,generic,333623,8761,2733,312.8761,131937.9849
camp 1,generic,62618,657,221,29.3397,11749.0646
camp 1,generic,212061,1887,634,368.1842,28092.8276
camp 1,generic,514,4,0,0.0675,0.0
camp 1,generic,1185,25,1,0.977,95.4309
camp 1,generic,334,4,2,0.1515,992.3784
camp 1,generic,1611,4,0,0.335,0.0
camp 1,generic,5453,13,1,2.1649,15.8303
camp 1,generic,20019,516,79,18.0738,4559.3101
camp 1,generic,4542,34,2,2.0907,321.873
camp 1,generic,16844,95,18,11.3903,958.9188
camp 1,generic,7,0,0,0.011,0.0
camp 1,generic,42481,203,149,48.5126,8534.6273
camp 1,generic,74006,1434,436,49.3001,20309.1481
camp 1,generic,5102,31,9,2.8086,365.735
camp 1,generic,261339,2066,937,316.6436,51768.126
camp 1,generic,431,1,1,0.1194,63.9516
camp 1,generic,212,9,0,0.1217,0.0
camp 1,generic,2,0,0,0.0011,0.0
camp 1,generic,2898,9,14,0.5847,339.4011
camp 1,generic,4525,18,5,3.5218,567.6721
camp 1,generic,4083,94,6,2.524,291.8944
camp 1,generic,288,3,0,0.1709,0.0
camp 1,generic,27107,125,21,14.0987,1444.4008
camp 1,generic,1416,7,1,0.8165,284.5517
camp 1,generic,420,2,0,0.1625,0.0
camp 1,generic,20,0,0,0.0127,0.0
camp 1,generic,4006,4,9,1.9898,143.2366
camp 1,generic,25,0,0,0.0024,0.0
camp 1,generic,15,0,0,0.0002,0.0
camp 1,generic,103,0,0,0.0351,0.0
camp 1,generic,9,0,0,0.0034,0.0
camp 1,generic,279,0,0,0.0468,0.0
camp 1,generic,48940,1027,507,124.9583,22253.6558
camp 1,generic,361,8,0,0.1044,0.0
camp 1,generic,4116,103,17,4.2848,1035.7994
camp 1,generic,4979,55,17,9.994,917.4051
camp 1,generic,17957,154,57,14.4412,3320.1255
camp 1,generic,205,8,0,0.1408,0.0
camp 1,generic,18365,167,59,27.2151,3982.5388
camp 1,generic,33,0,0,0.0069,0.0
camp 1,generic,48,0,0,0.0314,0.0
camp 1,generic,2,0,0,0.0011,0.0
camp 1,generic,203,0,0,0.0192,0.0
camp 1,generic,611,5,0,0.4639,0.0
camp 1,generic,1232,10,4,0.8553,200.4823
camp 1,generic,34,0,0,0.0225,0.0
camp 1,generic,1943,8,7,0.7424,395.948
camp 1,generic,13,0,0,0.0197,0.0
camp 1,generic,72625,500,120,90.0158,7347.3762
camp 1,generic,236270,3291,1267,307.3453,55019.7363
camp 1,generic,27144,249,120,12.3166,6059.9945
camp 1,generic,392763,2500,1137,372.3133,70543.0369
camp 1,generic,1,0,0,0.0006,0.0
camp 1,generic,730,2,0,0.1459,0.0
camp 1,generic,398,4,0,0.4687,0.0
camp 1,generic,118,0,0,0.057,0.0
camp 1,generic,4288,15,0,0.6614,0.0
camp 1,generic,7158,36,5,4.4345,240.2022
camp 1,generic,11779,161,19,14.3316,1858.2109
camp 1,generic,2260,16,0,1.0041,0.0
camp 1,generic,42421,235,23,18.7414,2601.384
camp 1,generic,10,2,0,0.0929,0.0
camp 1,generic,1,0,0,0.0006,0.0
camp 2,generic,7662,42,3,0.7137,323.2916
camp 2,generic,207,1,0,0.271,0.0
camp 2,generic,78978,456,3,9.6791,91.7449
camp 2,generic,5,0,0,0.0042,0.0
camp 2,generic,22953,219,0,5.2407,0.0
camp 2,generic,3652,112,2,5.4987,104.4042
camp 2,generic,257764,4884,34,64.4121,4299.6099
camp 2,generic,15585,69,0,2.1009,0.0
camp 2,generic,27470,645,15,21.9056,758.6647
camp 2,generic,5962,69,0,2.538,0.0
camp 2,generic,60974,284,5,7.3234,95.9673
camp 2,generic,74984,976,17,17.447,1092.7151
camp 2,generic,222625,10721,185,195.3052,15447.893
camp 2,generic,40330,950,20,17.6279,1500.6223
camp 2,generic,242913,3040,35,73.8687,2826.908
camp 2,generic,13041,84,0,2.045,0.0
camp 2,generic,7598,162,0,4.6563,0.0
camp 2,generic,83,1,0,0.0483,0.0
camp 2,generic,96244,491,3,10.2464,223.6411
camp 2,generic,5,0,0,0.0076,0.0
camp 2,generic,42391,470,14,16.831,928.0248
camp 2,generic,52502,2139,20,32.9236,994.9486
camp 2,generic,1288,12,5,0.7347,513.4441
camp 2,generic,314843,3664,56,79.7769,4239.0336
camp 2,generic,479,1,0,0.0486,0.0
camp 2,generic,5,0,0,0.0019,0.0
camp 2,generic,1034,1,0,0.0369,0.0
camp 2,generic,1777,9,0,0.329,0.0
camp 2,generic,146,2,0,0.0564,0.0
camp 2,generic,19,0,0,0.0121,0.0
camp 2,generic,3812,35,1,0.3952,42.5054
camp 2,generic,17622,312,1,3.7959,46.1171
camp 2,generic,56328,2315,33,28.5111,2125.8539
camp 2,generic,800,4,0,0.1713,0.0
camp 2,generic,507,0,0,0.3465,0.0
camp 2,generic,35,1,0,0.0246,0.0
camp 2,generic,6566,32,0,0.4625,0.0
camp 2,generic,4906,63,2,2.1853,220.0783
camp 2,generic,7209,107,3,5.6953,531.1423
camp 2,generic,338,21,0,0.2248,0.0
camp 2,generic,24897,325,3,4.983,249.8357
camp 2,generic,16590,104,1,2.7389,30.2849
camp 2,generic,5902,103,2,6.1121,94.776
camp 2,generic,1960,31,0,0.8959,0.0
camp 2,generic,120254,660,7,9.3858,360.7537
camp 2,generic,7,0,0,0.0056,0.0
camp 2,generic,74171,884,14,24.6846,1201.1733
camp 2,generic,77402,1775,50,86.0796,3334.1989
camp 2,generic,15366,282,5,7.2697,482.0716
camp 2,generic,432697,5634,72,85.426,4437.7681
camp 2,generic,6,0,0,0.0006,0.0
camp 2,generic,11,0,0,0.0027,0.0
camp 3,generic,1,0,0,0.0007,0.0
camp 3,generic,2126,2,2,0.5039,107.0244
camp 3,generic,22,0,0,0.0314,0.0
camp 3,generic,21278,54,5,4.5165,417.451
camp 3,generic,10225,21,0,0.5635,0.0
camp 3,generic,35,0,0,0.0374,0.0
camp 3,generic,42716,121,1,2.0779,78.5407
camp 3,generic,14635,30,1,1.2489,29.1506
camp 3,generic,59,0,0,0.0869,0.0
camp 3,generic,88948,397,1,8.6151,80.4338
camp 3,generic,6855,14,5,1.528,140.4639
camp 3,generic,7735,69,6,6.474,793.367
camp 3,generic,6503,32,2,2.9007,194.8993
camp 3,generic,24627,41,12,7.3901,292.4957
camp 3,generic,9104,24,0,0.7301,0.0
camp 3,generic,3086,26,0,2.0467,0.0
camp 3,generic,899,18,0,0.4156,0.0
camp 3,generic,25613,21,0,0.6212,0.0
camp 3,generic,24637,109,2,2.6849,51.8638
camp 3,generic,14292,253,5,10.9602,361.2609
camp 3,generic,6762,129,1,3.1124,34.3482
camp 3,generic,57513,170,0,3.5204,0.0
camp 3,generic,1,0,0,0.0008,0.0
camp 3,generic,4550,10,0,1.5234,0.0
camp 3,generic,1463,16,1,0.8756,176.4182
camp 3,generic,201,3,0,0.1235,0.0
camp 3,generic,30303,102,10,7.9791,506.4673
camp 3,generic,1,0,0,0.002,0.0
camp 3,generic,16597,67,0,1.0537,0.0
camp 3,generic,915,17,0,0.4929,0.0
camp 3,generic,7,0,0,0.0025,0.0
camp 3,generic,59998,134,0,2.025,0.0
camp 3,generic,1,0,0,0.002,0.0
camp 3,generic,24679,125,1,2.9493,73.8075
camp 3,generic,3309,94,0,1.7903,0.0
camp 3,generic,51,0,0,0.0277,0.0
camp 3,generic,109957,465,10,7.8777,402.2419
camp 3,generic,136,0,0,0.0164,0.0
camp 3,generic,1,0,0,0.0003,0.0
camp 3,generic,304,0,0,0.0179,0.0
