date,campaign_id,campaign_name,platform,spend,impressions,clicks,conversions,revenue
2025-11-24,campaign_1,Google Campaign 1,google,508.58,105020,2801,71,2074.89
2025-11-25,campaign_1,Google Campaign 1,google,445.15,80457,2430,78,9304.42
2025-11-26,campaign_1,Google Campaign 1,google,496.81,100212,2490,56,1765.4
2025-11-27,campaign_1,Google Campaign 1,google,489.21,97170,3084,121,7215.38
2025-11-28,campaign_1,Google Campaign 1,google,477.66,92636,3573,145,5565.66
2025-11-29,campaign_1,Google Campaign 1,google,406.8,79047,2020,85,5298.11
2025-11-30,campaign_1,Google Campaign 1,google,464.4,103017,2465,76,6750.16
2025-12-01,campaign_1,Google Campaign 1,google,562.69,128556,3955,236,21808.17
2025-12-02,campaign_1,Google Campaign 1,google,452.56,83158,2132,122,14673.17
2025-12-03,campaign_1,Google Campaign 1,google,505.08,103577,2765,79,4298.35
2025-12-04,campaign_1,Google Campaign 1,google,394.06,63048,2262,73,8419.34
2025-12-05,campaign_1,Google Campaign 1,google,432.88,76083,2997,194,15505.73
2025-12-06,campaign_1,Google Campaign 1,google,415.84,82599,2316,36,5540.79
2025-12-07,campaign_1,Google Campaign 1,google,446.5,95231,2881,135,7040.04
2025-12-08,campaign_1,Google Campaign 1,google,428.92,74695,2629,99,7416.19
2025-12-09,campaign_1,Google Campaign 1,google,475.39,91759,2798,126,5363.45
2025-12-10,campaign_1,Google Campaign 1,google,553.46,124372,1573,57,4466.68
2025-12-11,campaign_1,Google Campaign 1,google,404.03,66278,1675,89,5533.27
2025-12-12,campaign_1,Google Campaign 1,google,440.07,78629,2035,91,11216.33
2025-12-13,campaign_1,Google Campaign 1,google,441.83,93248,2959,42,3838.89
2025-12-14,campaign_1,Google Campaign 1,google,352.32,59293,2040,69,7325.29
2025-12-15,campaign_1,Google Campaign 1,google,539.53,118188,4287,170,21133.56
2025-12-16,campaign_1,Google Campaign 1,google,485.01,95510,2377,91,7648.86
2025-12-17,campaign_1,Google Campaign 1,google,550.72,123142,3234,95,9339.42
2025-12-18,campaign_1,Google Campaign 1,google,477.01,92383,2500,84,10217.77
2025-12-19,campaign_1,Google Campaign 1,google,543.88,120102,4005,158,17805.97
2025-11-20,campaign_2,Tiktok Campaign 2,tiktok,761.34,131056,1591,14,786.62
2025-11-21,campaign_2,Tiktok Campaign 2,tiktok,655.6,97180,799,11,975.82
2025-11-22,campaign_2,Tiktok Campaign 2,tiktok,503.14,67338,685,13,949.57
2025-11-23,campaign_2,Tiktok Campaign 2,tiktok,744.52,147448,1357,26,2373.13
2025-11-24,campaign_2,Tiktok Campaign 2,tiktok,691.85,108225,1177,16,747.97
2025-11-25,campaign_2,Tiktok Campaign 2,tiktok,719.0,116884,1048,27,2470.15
2025-11-26,campaign_2,Tiktok Campaign 2,tiktok,815.89,150511,1305,14,585.65
2025-11-27,campaign_2,Tiktok Campaign 2,tiktok,747.02,126171,941,14,637.52
2025-11-28,campaign_2,Tiktok Campaign 2,tiktok,878.43,174467,2096,39,5609.96
2025-11-29,campaign_2,Tiktok Campaign 2,tiktok,726.32,140327,1101,25,3098.59
2025-11-30,campaign_2,Tiktok Campaign 2,tiktok,624.86,103860,834,9,680.76
2025-12-01,campaign_2,Tiktok Campaign 2,tiktok,646.83,94598,834,10,563.69
2025-12-02,campaign_2,Tiktok Campaign 2,tiktok,698.11,110190,1041,13,1680.44
2025-12-03,campaign_2,Tiktok Campaign 2,tiktok,710.54,114151,1204,13,2085.79
2025-12-04,campaign_2,Tiktok Campaign 2,tiktok,672.26,102181,1029,12,492.09
2025-12-05,campaign_2,Tiktok Campaign 2,tiktok,666.18,100343,760,20,1882.89
2025-12-06,campaign_2,Tiktok Campaign 2,tiktok,648.66,111921,1084,14,1466.29
2025-12-07,campaign_2,Tiktok Campaign 2,tiktok,678.35,122403,1301,25,3729.33
2025-12-08,campaign_2,Tiktok Campaign 2,tiktok,558.58,70547,758,10,954.78
2025-12-09,campaign_2,Tiktok Campaign 2,tiktok,614.57,85396,847,11,1308.93
2025-12-10,campaign_2,Tiktok Campaign 2,tiktok,631.94,90292,738,8,737.77
2025-12-11,campaign_2,Tiktok Campaign 2,tiktok,862.09,168038,1638,15,431.85
2025-12-12,campaign_2,Tiktok Campaign 2,tiktok,789.22,140830,1835,25,684.35
2025-12-13,campaign_2,Tiktok Campaign 2,tiktok,498.81,66184,677,12,571.51
2025-12-14,campaign_2,Tiktok Campaign 2,tiktok,571.51,86882,719,13,569.17
2025-12-15,campaign_2,Tiktok Campaign 2,tiktok,793.28,142283,1250,20,2147.75
2025-12-16,campaign_2,Tiktok Campaign 2,tiktok,802.16,145486,1207,20,2547.46
2025-12-17,campaign_2,Tiktok Campaign 2,tiktok,688.74,107253,798,8,640.61
2025-12-18,campaign_2,Tiktok Campaign 2,tiktok,707.33,113121,1385,22,3151.89
2025-12-19,campaign_2,Tiktok Campaign 2,tiktok,690.2,107707,1462,19,3092.19
2025-11-20,campaign_3,Snapchat Campaign 3,snapchat,652.94,106353,1006,15,840.82
2025-11-21,campaign_3,Snapchat Campaign 3,snapchat,627.16,98119,531,8,1191.08
2025-11-22,campaign_3,Snapchat Campaign 3,snapchat,486.05,69334,651,5,435.13
2025-11-23,campaign_3,Snapchat Campaign 3,snapchat,485.72,69240,397,4,617.89
2025-11-24,campaign_3,Snapchat Campaign 3,snapchat,552.77,76224,599,6,317.29
2025-11-25,campaign_3,Snapchat Campaign 3,snapchat,543.81,73771,640,8,609.04
2025-11-26,campaign_3,Snapchat Campaign 3,snapchat,556.44,77239,339,2,276.13
2025-11-27,campaign_3,Snapchat Campaign 3,snapchat,645.16,103832,740,10,706.26
2025-11-28,campaign_3,Snapchat Campaign 3,snapchat,685.15,117102,1246,14,986.38
2025-11-29,campaign_3,Snapchat Campaign 3,snapchat,516.17,78192,592,5,282.96
2025-11-30,campaign_3,Snapchat Campaign 3,snapchat,456.74,61224,463,6,405.1
2025-12-01,campaign_3,Snapchat Campaign 3,snapchat,460.22,52835,535,8,711.64
2025-12-02,campaign_3,Snapchat Campaign 3,snapchat,624.7,97350,827,10,1118.46
2025-12-03,campaign_3,Snapchat Campaign 3,snapchat,619.8,95828,524,6,341.05
2025-12-04,campaign_3,Snapchat Campaign 3,snapchat,497.43,61726,337,4,491.58
2025-12-05,campaign_3,Snapchat Campaign 3,snapchat,629.72,98922,852,13,824.33
2025-12-06,campaign_3,Snapchat Campaign 3,snapchat,500.75,73590,531,8,897.32
2025-12-07,campaign_3,Snapchat Campaign 3,snapchat,475.59,66381,574,5,479.34
2025-12-08,campaign_3,Snapchat Campaign 3,snapchat,548.13,74947,672,10,498.12
2025-12-09,campaign_3,Snapchat Campaign 3,snapchat,531.23,70398,681,12,1794.6
2025-12-10,campaign_3,Snapchat Campaign 3,snapchat,522.26,68040,566,8,801.41
2025-12-11,campaign_3,Snapchat Campaign 3,snapchat,607.35,92019,591,7,475.7
2025-12-12,campaign_3,Snapchat Campaign 3,snapchat,662.78,109579,1149,13,694.12
2025-12-13,campaign_3,Snapchat Campaign 3,snapchat,463.11,62943,654,8,678.51
2025-12-14,campaign_3,Snapchat Campaign 3,snapchat,466.7,63921,517,7,306.96
2025-12-15,campaign_3,Snapchat Campaign 3,snapchat,524.52,68630,630,8,953.62
2025-12-16,campaign_3,Snapchat Campaign 3,snapchat,481.47,57828,381,5,404.5
2025-12-17,campaign_3,Snapchat Campaign 3,snapchat,528.64,69714,574,5,242.73
2025-12-18,campaign_3,Snapchat Campaign 3,snapchat,593.05,87735,920,13,2033.89
2025-12-19,campaign_3,Snapchat Campaign 3,snapchat,600.01,89807,662,4,677.69
2025-11-20,campaign_4,Linkedin Campaign 4,linkedin,826.06,69120,336,6,625.94
2025-11-21,campaign_4,Linkedin Campaign 4,linkedin,877.22,77946,417,4,136.21
2025-11-22,campaign_4,Linkedin Campaign 4,linkedin,718.34,61492,293,5,408.64
2025-11-23,campaign_4,Linkedin Campaign 4,linkedin,705.96,59391,321,7,515.01
2025-11-24,campaign_4,Linkedin Campaign 4,linkedin,821.41,68344,321,7,596.14
2025-11-25,campaign_4,Linkedin Campaign 4,linkedin,764.94,59269,313,8,782.02
2025-11-26,campaign_4,Linkedin Campaign 4,linkedin,874.25,77420,434,5,493.69
2025-11-27,campaign_4,Linkedin Campaign 4,linkedin,932.26,88036,513,12,929.41
2025-11-28,campaign_4,Linkedin Campaign 4,linkedin,864.68,75734,442,9,813.67
2025-11-29,campaign_4,Linkedin Campaign 4,linkedin,725.15,62663,354,5,366.68
2025-11-30,campaign_4,Linkedin Campaign 4,linkedin,679.97,55099,334,3,402.29
2025-12-01,campaign_4,Linkedin Campaign 4,linkedin,733.48,54495,223,5,314.61
2025-12-02,campaign_4,Linkedin Campaign 4,linkedin,799.15,64690,315,9,371.84
2025-12-03,campaign_4,Linkedin Campaign 4,linkedin,801.37,65051,214,4,569.01
2025-12-04,campaign_4,Linkedin Campaign 4,linkedin,873.85,77349,387,6,434.26
2025-12-05,campaign_4,Linkedin Campaign 4,linkedin,779.82,61598,424,4,494.78
2025-12-06,campaign_4,Linkedin Campaign 4,linkedin,740.33,65314,276,6,906.63
2025-12-07,campaign_4,Linkedin Campaign 4,linkedin,756.68,68232,391,9,735.01
2025-12-08,campaign_4,Linkedin Campaign 4,linkedin,903.98,82775,476,8,1005.38
2025-12-09,campaign_4,Linkedin Campaign 4,linkedin,784.92,62407,395,9,957.68
2025-12-10,campaign_4,Linkedin Campaign 4,linkedin,980.05,97293,452,7,491.08
2025-12-11,campaign_4,Linkedin Campaign 4,linkedin,777.01,61155,310,4,319.82
2025-12-12,campaign_4,Linkedin Campaign 4,linkedin,1060.94,114015,569,14,1869.18
2025-12-13,campaign_4,Linkedin Campaign 4,linkedin,751.41,67285,407,6,257.68
2025-12-14,campaign_4,Linkedin Campaign 4,linkedin,693.46,57307,387,9,647.88
2025-12-15,campaign_4,Linkedin Campaign 4,linkedin,831.62,70054,247,4,346.87
2025-12-16,campaign_4,Linkedin Campaign 4,linkedin,811.1,66639,412,7,815.38
2025-12-17,campaign_4,Linkedin Campaign 4,linkedin,910.89,84045,441,7,296.39
2025-12-18,campaign_4,Linkedin Campaign 4,linkedin,895.27,81188,488,13,657.07
2025-12-19,campaign_4,Linkedin Campaign 4,linkedin,750.83,57104,301,4,528.37
2025-11-20,campaign_5,Meta Campaign 5,meta,113.63,15162,201,8,1069.78
2025-11-21,campaign_5,Meta Campaign 5,meta,111.83,14684,281,7,412.81
2025-11-22,campaign_5,Meta Campaign 5,meta,88.63,10851,165,2,269.49
2025-11-23,campaign_5,Meta Campaign 5,meta,84.27,9809,134,3,283.29
2025-11-24,campaign_5,Meta Campaign 5,meta,109.08,13970,256,3,363.96
2025-11-25,campaign_5,Meta Campaign 5,meta,110.78,14411,185,2,210.01
2025-11-26,campaign_5,Meta Campaign 5,meta,108.94,13936,274,9,967.56
2025-11-27,campaign_5,Meta Campaign 5,meta,100.68,11903,110,1,141.14
2025-11-28,campaign_5,Meta Campaign 5,meta,108.45,13810,149,3,400.67
2025-11-29,campaign_5,Meta Campaign 5,meta,100.9,14065,161,3,151.78
2025-11-30,campaign_5,Meta Campaign 5,meta,82.04,9298,185,6,610.84
2025-12-01,campaign_5,Meta Campaign 5,meta,94.98,10594,231,6,507.33
2025-12-02,campaign_5,Meta Campaign 5,meta,110.39,14309,155,5,426.02
2025-12-03,campaign_5,Meta Campaign 5,meta,136.35,21830,389,15,735.74
2025-12-04,campaign_5,Meta Campaign 5,meta,117.42,16189,206,3,470.98
2025-12-05,campaign_5,Meta Campaign 5,meta,115.4,15638,247,6,772.66
2025-12-06,campaign_5,Meta Campaign 5,meta,73.14,7389,101,5,344.37
2025-12-07,campaign_5,Meta Campaign 5,meta,109.7,16623,267,5,255.09
2025-12-08,campaign_5,Meta Campaign 5,meta,107.25,13506,178,4,359.61
2025-12-09,campaign_5,Meta Campaign 5,meta,93.59,10286,173,4,442.76
2025-12-10,campaign_5,Meta Campaign 5,meta,110.01,14210,228,3,476.74
2025-12-11,campaign_5,Meta Campaign 5,meta,101.12,12008,191,4,500.78
2025-12-12,campaign_5,Meta Campaign 5,meta,105.01,12948,112,1,49.11
2025-12-13,campaign_5,Meta Campaign 5,meta,84.5,9863,183,4,651.97
2025-12-14,campaign_5,Meta Campaign 5,meta,100.01,13816,130,3,409.03
2025-12-15,campaign_5,Meta Campaign 5,meta,104.89,12919,200,6,382.14
2025-12-16,campaign_5,Meta Campaign 5,meta,92.55,10057,170,1,113.26
2025-12-17,campaign_5,Meta Campaign 5,meta,104.65,12860,206,3,238.74
2025-12-18,campaign_5,Meta Campaign 5,meta,97.18,11089,186,6,618.52
2025-12-19,campaign_5,Meta Campaign 5,meta,104.32,12778,213,4,365.13
2025-11-20,campaign_6,Google Campaign 6,google,691.1,132240,4173,146,16109.84
2025-11-21,campaign_6,Google Campaign 6,google,756.87,158609,4963,180,13295.98
2025-11-22,campaign_6,Google Campaign 6,google,537.5,94107,3373,159,13876.28
2025-11-23,campaign_6,Google Campaign 6,google,687.31,153878,5878,233,30385.42
2025-11-24,campaign_6,Google Campaign 6,google,764.62,161874,2605,81,3840.2
2025-11-25,campaign_6,Google Campaign 6,google,736.13,150037,4083,98,10395.19
2025-11-26,campaign_6,Google Campaign 6,google,744.67,153536,5041,230,20265.53
2025-11-27,campaign_6,Google Campaign 6,google,741.25,152131,4237,114,15596.33
2025-11-28,campaign_6,Google Campaign 6,google,680.18,128097,3258,96,7501.36
2025-11-29,campaign_6,Google Campaign 6,google,521.31,88523,2589,112,14171.6
2025-11-30,campaign_6,Google Campaign 6,google,581.22,110040,4023,158,19691.67
2025-12-01,campaign_6,Google Campaign 6,google,926.31,237574,5727,112,6846.86
2025-12-02,campaign_6,Google Campaign 6,google,733.6,149007,3774,152,17467.21
2025-12-03,campaign_6,Google Campaign 6,google,744.21,153348,3268,162,5196.36
2025-12-04,campaign_6,Google Campaign 6,google,626.91,108816,2862,99,9617.56
2025-12-05,campaign_6,Google Campaign 6,google,856.15,202952,6494,342,30590.59
2025-12-06,campaign_6,Google Campaign 6,google,498.93,81085,2979,61,4752.77
2025-12-07,campaign_6,Google Campaign 6,google,703.76,161333,4883,49,7234.01
2025-12-08,campaign_6,Google Campaign 6,google,795.21,175085,5399,185,9613.9
2025-12-09,campaign_6,Google Campaign 6,google,797.53,176109,5416,251,20288.68
2025-12-10,campaign_6,Google Campaign 6,google,878.38,213628,5657,136,14059.88
2025-12-11,campaign_6,Google Campaign 6,google,781.44,169076,4374,147,4896.0
2025-12-12,campaign_6,Google Campaign 6,google,764.67,161896,6005,117,12512.64
2025-12-13,campaign_6,Google Campaign 6,google,560.36,102283,3292,95,7043.36
2025-12-14,campaign_6,Google Campaign 6,google,639.4,133173,4411,86,6085.41
2025-12-15,campaign_6,Google Campaign 6,google,748.37,155067,5140,185,9918.37
2025-12-16,campaign_6,Google Campaign 6,google,635.19,111711,3657,116,9973.26
2025-12-17,campaign_6,Google Campaign 6,google,689.79,131741,3552,179,11515.83
2025-12-18,campaign_6,Google Campaign 6,google,672.2,125107,4047,140,6078.82
2025-12-19,campaign_6,Google Campaign 6,google,692.42,132749,3883,159,11689.88
2025-11-20,campaign_7,Tiktok Campaign 7,tiktok,638.35,104913,1381,30,1490.04
2025-11-21,campaign_7,Tiktok Campaign 7,tiktok,737.95,140204,1723,27,2382.96
2025-11-22,campaign_7,Tiktok Campaign 7,tiktok,588.46,104887,895,10,517.65
2025-11-23,campaign_7,Tiktok Campaign 7,tiktok,548.57,91150,687,8,304.93
2025-11-24,campaign_7,Tiktok Campaign 7,tiktok,657.36,111255,939,18,1336.39
2025-11-25,campaign_7,Tiktok Campaign 7,tiktok,737.25,139942,1312,23,1136.85
2025-11-26,campaign_7,Tiktok Campaign 7,tiktok,683.06,120125,1044,13,1680.2
2025-11-27,campaign_7,Tiktok Campaign 7,tiktok,661.26,112580,1487,22,1447.2
2025-11-28,campaign_7,Tiktok Campaign 7,tiktok,616.76,97937,1378,30,3624.13
2025-11-29,campaign_7,Tiktok Campaign 7,tiktok,657.44,130919,1143,14,1604.85
2025-11-30,campaign_7,Tiktok Campaign 7,tiktok,717.33,155860,1233,27,2914.82
2025-12-01,campaign_7,Tiktok Campaign 7,tiktok,572.69,84440,804,3,288.07
2025-12-02,campaign_7,Tiktok Campaign 7,tiktok,642.34,106230,1212,13,864.6
2025-12-03,campaign_7,Tiktok Campaign 7,tiktok,709.97,129777,878,14,1889.16
2025-12-04,campaign_7,Tiktok Campaign 7,tiktok,630.18,102244,1123,22,2698.99
2025-12-05,campaign_7,Tiktok Campaign 7,tiktok,549.1,77627,633,11,1587.93
2025-12-06,campaign_7,Tiktok Campaign 7,tiktok,581.78,102520,1320,13,1321.96
2025-12-07,campaign_7,Tiktok Campaign 7,tiktok,557.65,94193,899,15,859.2
2025-12-08,campaign_7,Tiktok Campaign 7,tiktok,641.42,105925,1344,18,2811.13
2025-12-09,campaign_7,Tiktok Campaign 7,tiktok,596.92,91736,939,12,783.58
2025-12-10,campaign_7,Tiktok Campaign 7,tiktok,576.9,85687,688,9,861.17
2025-12-11,campaign_7,Tiktok Campaign 7,tiktok,632.01,102838,1111,16,1876.68
2025-12-12,campaign_7,Tiktok Campaign 7,tiktok,504.45,65517,846,16,933.71
2025-12-13,campaign_7,Tiktok Campaign 7,tiktok,466.47,65907,659,9,767.16
2025-12-14,campaign_7,Tiktok Campaign 7,tiktok,588.51,104905,1274,21,2453.72
2025-12-15,campaign_7,Tiktok Campaign 7,tiktok,661.47,112650,1113,16,1077.59
2025-12-16,campaign_7,Tiktok Campaign 7,tiktok,716.02,131998,1221,19,1380.78
2025-12-17,campaign_7,Tiktok Campaign 7,tiktok,623.52,100096,883,12,1880.71
2025-12-18,campaign_7,Tiktok Campaign 7,tiktok,617.48,98164,768,13,957.39
2025-12-19,campaign_7,Tiktok Campaign 7,tiktok,600.4,92810,858,14,417.06
2025-11-20,campaign_8,Snapchat Campaign 8,snapchat,539.81,69638,746,9,286.95
2025-11-21,campaign_8,Snapchat Campaign 8,snapchat,562.74,75680,551,7,819.28
2025-11-22,campaign_8,Snapchat Campaign 8,snapchat,489.23,67294,592,6,250.75
2025-11-23,campaign_8,Snapchat Campaign 8,snapchat,576.27,93370,823,8,806.59
2025-11-24,campaign_8,Snapchat Campaign 8,snapchat,580.94,80656,742,10,889.34
2025-11-25,campaign_8,Snapchat Campaign 8,snapchat,724.93,125593,1046,16,520.25
2025-11-26,campaign_8,Snapchat Campaign 8,snapchat,578.19,79894,519,8,1035.84
2025-11-27,campaign_8,Snapchat Campaign 8,snapchat,657.01,103162,923,10,641.9
2025-11-28,campaign_8,Snapchat Campaign 8,snapchat,573.25,78533,646,10,358.76
2025-11-29,campaign_8,Snapchat Campaign 8,snapchat,460.97,59744,540,8,369.98
2025-11-30,campaign_8,Snapchat Campaign 8,snapchat,376.84,39927,260,3,166.7
2025-12-01,campaign_8,Snapchat Campaign 8,snapchat,603.17,86946,823,6,782.55
2025-12-02,campaign_8,Snapchat Campaign 8,snapchat,563.79,75963,677,8,356.95
2025-12-03,campaign_8,Snapchat Campaign 8,snapchat,671.66,107812,1065,6,196.16
2025-12-04,campaign_8,Snapchat Campaign 8,snapchat,591.18,83523,704,8,835.5
2025-12-05,campaign_8,Snapchat Campaign 8,snapchat,585.12,81819,675,8,762.7
2025-12-06,campaign_8,Snapchat Campaign 8,snapchat,519.22,75797,687,8,799.69
2025-12-07,campaign_8,Snapchat Campaign 8,snapchat,377.18,39998,449,5,709.03
2025-12-08,campaign_8,Snapchat Campaign 8,snapchat,622.92,92734,578,6,567.79
2025-12-09,campaign_8,Snapchat Campaign 8,snapchat,689.06,113472,715,10,1208.35
2025-12-10,campaign_8,Snapchat Campaign 8,snapchat,583.39,81337,843,10,933.32
2025-12-11,campaign_8,Snapchat Campaign 8,snapchat,584.1,81536,700,8,772.71
2025-12-12,campaign_8,Snapchat Campaign 8,snapchat,525.25,65933,933,7,455.46
2025-12-13,campaign_8,Snapchat Campaign 8,snapchat,651.14,119208,771,7,851.7
2025-12-14,campaign_8,Snapchat Campaign 8,snapchat,482.76,65525,631,7,819.33
2025-12-15,campaign_8,Snapchat Campaign 8,snapchat,545.93,71227,629,5,614.82
2025-12-16,campaign_8,Snapchat Campaign 8,snapchat,716.8,122792,1134,5,517.01
2025-12-17,campaign_8,Snapchat Campaign 8,snapchat,693.98,115098,779,9,282.57
2025-12-18,campaign_8,Snapchat Campaign 8,snapchat,586.66,82251,484,3,89.9
2025-12-19,campaign_8,Snapchat Campaign 8,snapchat,617.38,91092,523,8,655.13
2025-11-20,campaign_9,Linkedin Campaign 9,linkedin,430.44,35458,117,2,93.71
2025-11-21,campaign_9,Linkedin Campaign 9,linkedin,429.58,35317,160,2,123.52
2025-11-22,campaign_9,Linkedin Campaign 9,linkedin,336.9,25555,163,4,514.97
2025-11-23,campaign_9,Linkedin Campaign 9,linkedin,392.53,34692,269,4,226.19
2025-11-24,campaign_9,Linkedin Campaign 9,linkedin,437.86,36692,219,4,115.18
2025-11-25,campaign_9,Linkedin Campaign 9,linkedin,339.32,22035,68,0,0.0
2025-11-26,campaign_9,Linkedin Campaign 9,linkedin,485.78,45162,303,5,305.02
2025-11-27,campaign_9,Linkedin Campaign 9,linkedin,434.39,36112,167,2,192.23
2025-11-28,campaign_9,Linkedin Campaign 9,linkedin,448.87,38560,236,3,96.96
2025-11-29,campaign_9,Linkedin Campaign 9,linkedin,405.47,37017,172,5,680.5
2025-11-30,campaign_9,Linkedin Campaign 9,linkedin,334.59,25206,146,2,96.04
2025-12-01,campaign_9,Linkedin Campaign 9,linkedin,493.09,46532,223,4,392.94
2025-12-02,campaign_9,Linkedin Campaign 9,linkedin,450.8,38893,174,2,260.67
2025-12-03,campaign_9,Linkedin Campaign 9,linkedin,487.79,45537,334,3,274.88
2025-12-04,campaign_9,Linkedin Campaign 9,linkedin,496.29,47139,208,5,517.89
2025-12-05,campaign_9,Linkedin Campaign 9,linkedin,504.36,48684,192,1,157.41
2025-12-06,campaign_9,Linkedin Campaign 9,linkedin,443.76,44338,188,3,212.06
2025-12-07,campaign_9,Linkedin Campaign 9,linkedin,391.14,34446,169,2,144.94
2025-12-08,campaign_9,Linkedin Campaign 9,linkedin,433.04,35888,223,5,519.4
2025-12-09,campaign_9,Linkedin Campaign 9,linkedin,568.64,61884,389,10,1380.6
2025-12-10,campaign_9,Linkedin Campaign 9,linkedin,332.9,21209,126,2,115.53
2025-12-11,campaign_9,Linkedin Campaign 9,linkedin,448.38,38476,165,3,376.58
2025-12-12,campaign_9,Linkedin Campaign 9,linkedin,529.14,53584,264,6,796.33
2025-12-13,campaign_9,Linkedin Campaign 9,linkedin,369.2,30691,141,1,109.53
2025-12-14,campaign_9,Linkedin Campaign 9,linkedin,419.5,39623,182,3,302.82
2025-12-15,campaign_9,Linkedin Campaign 9,linkedin,504.89,48786,292,6,808.66
2025-12-16,campaign_9,Linkedin Campaign 9,linkedin,431.16,35578,228,4,618.8
2025-12-17,campaign_9,Linkedin Campaign 9,linkedin,391.97,29404,79,1,118.6
2025-12-18,campaign_9,Linkedin Campaign 9,linkedin,361.82,25054,125,2,323.3
2025-12-19,campaign_9,Linkedin Campaign 9,linkedin,440.12,37071,230,3,106.2
2025-11-20,campaign_10,Meta Campaign 10,meta,745.98,81903,1114,40,4874.35
2025-11-21,campaign_10,Meta Campaign 10,meta,629.09,58246,1049,34,1026.47
2025-11-22,campaign_10,Meta Campaign 10,meta,724.89,90985,1914,51,5739.08
2025-11-23,campaign_10,Meta Campaign 10,meta,596.65,61639,1151,27,3822.77
2025-11-24,campaign_10,Meta Campaign 10,meta,686.44,69350,1059,32,4185.37
2025-11-25,campaign_10,Meta Campaign 10,meta,846.56,105478,1480,21,1855.4
2025-11-26,campaign_10,Meta Campaign 10,meta,722.47,76820,1428,23,982.81
2025-11-27,campaign_10,Meta Campaign 10,meta,667.78,65631,360,10,1019.62
2025-11-28,campaign_10,Meta Campaign 10,meta,1057.39,164555,2663,74,8832.01
2025-11-29,campaign_10,Meta Campaign 10,meta,702.53,85458,1693,39,2505.29
2025-11-30,campaign_10,Meta Campaign 10,meta,758.38,99586,1348,19,1487.6
2025-12-01,campaign_10,Meta Campaign 10,meta,885.93,115516,1556,34,2937.64
2025-12-02,campaign_10,Meta Campaign 10,meta,812.65,97196,1761,47,4237.18
2025-12-03,campaign_10,Meta Campaign 10,meta,992.3,144919,1663,31,3634.23
2025-12-04,campaign_10,Meta Campaign 10,meta,694.19,70925,838,21,3209.92
2025-12-05,campaign_10,Meta Campaign 10,meta,854.97,107583,1705,42,4802.27
2025-12-06,campaign_10,Meta Campaign 10,meta,630.23,68774,939,23,1822.63
2025-12-07,campaign_10,Meta Campaign 10,meta,639.79,70876,702,15,638.99
