date,source,day_of_week,is_weekend,emq_score,event_volume,event_loss_rate,data_freshness_min,api_success_rate,api_latency_ms,api_errors_count,match_rate,has_incident,incident_severity,health_score,health_status
2025-01-31,shopify,4,0,8.14,23323,0.0203,17.93,0.9882,258.22,7,0.7862,0,0,87.36,healthy
2025-01-31,stripe,4,0,9.28,4153,0.0319,6.23,0.9885,6.76,7,0.8345,0,0,91.95,healthy
2025-02-01,meta_capi,5,1,5.86,23509,0.1818,126.48,0.7727,1051.4,108,0.6524,1,2,32.29,degraded
2025-02-01,google_analytics,5,1,6.83,64296,0.0227,0.65,0.9899,440.0,6,0.8041,0,0,80.77,healthy
2025-02-01,segment,5,1,10.0,18203,0.0673,3.95,0.9557,104.88,4,0.8168,0,0,90.66,healthy
2025-02-01,shopify,5,1,7.68,11523,0.0548,32.28,0.9769,528.0,4,0.9095,0,0,81.37,healthy
2025-02-01,stripe,5,1,9.15,3551,0.029,13.02,0.9945,209.93,8,0.8148,0,0,91.76,healthy
2025-02-02,meta_capi,6,1,7.81,38127,0.0268,1.27,0.9788,114.97,6,0.8135,0,0,84.7,healthy
2025-02-02,google_analytics,6,1,6.68,80601,0.036,16.11,0.9805,201.96,9,0.8731,0,0,77.93,healthy
2025-02-02,segment,6,1,8.81,23045,0.0218,25.55,0.9611,70.82,0,0.8083,0,0,89.95,healthy
2025-02-02,shopify,6,1,8.1,14738,0.023,15.08,0.9861,151.34,7,0.8523,0,0,86.78,healthy
2025-02-02,stripe,6,1,9.28,3221,0.0323,1.05,0.9906,42.45,6,0.8597,0,0,92.08,healthy
2025-02-03,meta_capi,0,0,8.43,55408,0.0315,8.86,0.9784,585.15,5,0.7482,0,0,87.44,healthy
2025-02-03,google_analytics,0,0,8.06,90930,0.0501,2.46,0.9872,287.56,7,0.9155,0,0,83.95,healthy
2025-02-03,segment,0,0,9.04,28422,0.04,9.61,0.9528,20.52,7,0.8385,0,0,88.13,healthy
2025-02-03,shopify,0,0,8.62,19852,0.0212,2.01,0.9842,56.27,2,0.8746,0,0,90.01,healthy
2025-02-03,stripe,0,0,9.92,4620,0.0261,0.18,0.9946,49.84,6,0.8174,0,0,96.13,healthy
2025-02-04,meta_capi,1,0,8.37,59733,0.0215,10.36,0.9752,121.22,1,0.8298,0,0,88.35,healthy
2025-02-04,google_analytics,1,0,7.06,94025,0.0203,1.23,0.9875,14.24,5,0.8519,0,0,82.15,healthy
2025-02-04,segment,1,0,9.91,34451,0.0325,24.27,0.9679,168.65,6,0.8679,0,0,94.07,healthy
2025-02-04,shopify,1,0,7.67,22974,0.0225,55.86,0.9879,20.1,9,0.8258,0,0,84.62,healthy
2025-02-04,stripe,1,0,9.37,5736,0.033,20.36,0.9922,42.45,5,0.7666,0,0,92.67,healthy
2025-02-05,meta_capi,2,0,9.04,58014,0.0255,4.86,0.9755,243.46,5,0.8481,0,0,90.92,healthy
2025-02-05,google_analytics,2,0,7.22,118855,0.022,28.9,0.9866,28.4,6,0.8164,0,0,82.66,healthy
2025-02-05,segment,2,0,9.4,27902,0.0348,2.1,0.9525,60.48,2,0.7877,0,0,90.96,healthy
2025-02-05,shopify,2,0,8.5,19447,0.0229,14.4,0.9839,18.28,1,0.8253,0,0,89.3,healthy
2025-02-05,stripe,2,0,9.34,5688,0.0364,13.2,0.9849,23.05,2,0.9538,0,0,92.1,healthy
2025-02-06,meta_capi,3,0,8.43,58677,0.0238,10.62,0.9798,16.06,2,0.7983,0,0,88.58,healthy
2025-02-06,google_analytics,3,0,7.96,98189,0.0272,10.07,0.9845,15.04,2,0.8673,0,0,86.09,healthy
2025-02-06,segment,3,0,9.14,29325,0.0403,2.92,0.9641,182.09,6,0.8175,0,0,89.27,healthy
2025-02-06,shopify,3,0,8.55,17725,0.0308,7.51,0.9847,11.27,7,0.9094,0,0,88.22,healthy
2025-02-06,stripe,3,0,9.38,4654,0.031,24.74,0.9878,159.86,4,0.8982,0,0,92.78,healthy
2025-02-07,meta_capi,4,0,7.86,53909,0.0249,8.93,0.9786,46.72,3,0.7678,0,0,85.45,healthy
2025-02-07,google_analytics,4,0,6.38,114533,0.0273,9.79,0.9899,41.74,9,0.8159,0,0,77.74,healthy
2025-02-07,segment,4,0,8.87,35124,0.0206,40.87,0.9678,10.69,5,0.8696,0,0,90.2,healthy
2025-02-07,shopify,4,0,8.76,18180,0.0253,1.95,0.989,114.29,4,0.8887,0,0,90.3,healthy
2025-02-07,stripe,4,0,9.49,5611,0.028,0.67,0.99,302.42,6,0.8776,0,0,93.55,healthy
2025-02-08,meta_capi,5,1,8.36,31316,0.0352,4.82,0.9714,55.12,5,0.8876,0,0,86.36,healthy
2025-02-08,google_analytics,5,1,7.32,58680,0.0202,15.41,0.9853,79.12,5,0.8727,0,0,83.36,healthy
2025-02-08,segment,5,1,8.28,22827,0.0318,71.09,0.9693,10.99,4,0.7543,0,0,85.19,healthy
2025-02-08,shopify,5,1,7.71,12469,0.0244,1.08,0.9863,7.0,7,0.7993,0,0,84.72,healthy
2025-02-08,stripe,5,1,10.0,3451,0.0206,12.39,0.9792,19.27,4,0.871,0,0,96.5,healthy
2025-02-09,meta_capi,6,1,9.16,39136,0.0462,4.01,0.9775,16.54,8,0.7893,0,0,89.24,healthy
2025-02-09,google_analytics,6,1,7.85,57012,0.0236,4.58,0.9878,9.17,8,0.8978,0,0,85.5,healthy
2025-02-09,segment,6,1,8.81,24616,0.0212,25.51,0.9676,210.35,5,0.8732,0,0,89.79,healthy
2025-02-09,shopify,6,1,7.48,16663,0.0302,25.93,0.9893,198.06,7,0.9157,0,0,83.15,healthy
2025-02-09,stripe,6,1,9.75,3405,0.0237,10.58,0.9921,11.17,5,0.8527,0,0,95.5,healthy
2025-02-10,meta_capi,0,0,8.16,59897,0.0206,17.81,0.9594,27.34,2,0.8469,0,0,86.49,healthy
2025-02-10,google_analytics,0,0,7.31,100376,0.0771,25.23,0.9852,36.56,6,0.8585,0,0,77.48,healthy
2025-02-10,segment,0,0,9.6,32803,0.0347,0.17,0.9673,65.65,1,0.8342,0,0,92.82,healthy
2025-02-10,shopify,0,0,8.05,17721,0.0201,4.14,0.9714,161.72,6,0.7941,0,0,86.23,healthy
2025-02-10,stripe,0,0,9.28,5474,0.0265,7.07,0.9925,61.52,9,0.8058,0,0,92.47,healthy
2025-02-11,meta_capi,1,0,9.58,53187,0.0425,15.19,0.9752,6.9,5,0.8197,0,0,91.9,healthy
2025-02-11,google_analytics,1,0,7.32,82850,0.0201,47.03,0.9833,43.58,5,0.8592,0,0,83.24,healthy
2025-02-11,segment,1,0,9.59,27180,0.0202,1.29,0.9528,35.02,4,0.8859,0,0,93.18,healthy
2025-02-11,shopify,1,0,8.32,20242,0.0204,51.86,0.982,34.65,7,0.9112,0,0,87.96,healthy
2025-02-11,stripe,1,0,9.2,4864,0.0258,14.24,0.9807,27.53,4,0.7859,0,0,92.07,healthy
2025-02-12,meta_capi,2,0,8.42,55100,0.0262,27.68,0.9735,149.81,5,0.8641,0,0,87.64,healthy
2025-02-12,google_analytics,2,0,7.7,112711,0.0224,10.57,0.9808,131.98,9,0.8174,0,0,84.4,healthy
2025-02-12,segment,2,0,8.9,33600,0.0223,12.15,0.9634,95.71,4,0.8075,0,0,90.02,healthy
2025-02-12,shopify,2,0,7.28,17191,0.0236,31.39,0.962,45.94,7,0.7947,0,0,81.41,healthy
2025-02-12,stripe,2,0,10.0,4185,0.0289,9.84,0.9899,6.71,8,0.8214,0,0,95.81,healthy
2025-02-13,meta_capi,3,0,8.41,55697,0.0323,23.31,0.9764,58.02,3,0.8273,0,0,87.36,healthy
2025-02-13,google_analytics,3,0,8.26,119933,0.047,15.43,0.9873,101.11,6,0.8815,0,0,85.34,healthy
2025-02-13,segment,3,0,8.29,24314,0.0202,26.73,0.9684,73.0,6,0.7913,0,0,87.27,healthy
2025-02-13,shopify,3,0,7.42,17067,0.0208,19.53,0.9866,57.42,5,0.7064,0,0,83.82,healthy
2025-02-13,stripe,3,0,9.45,4523,0.0228,35.51,0.9936,31.74,5,0.8398,0,0,94.14,healthy
2025-02-14,meta_capi,4,0,7.29,46946,0.043,0.33,0.9745,330.76,4,0.8942,0,0,80.47,healthy
2025-02-14,google_analytics,4,0,6.94,102613,0.0262,53.64,0.9853,43.0,2,0.8784,0,0,81.17,healthy
2025-02-14,segment,4,0,9.1,30280,0.0212,29.51,0.9636,7.01,5,0.9074,0,0,91.06,healthy
2025-02-14,shopify,4,0,8.22,19698,0.0253,15.79,0.9861,6.43,5,0.8952,0,0,87.36,healthy
2025-02-14,stripe,4,0,9.26,5513,0.0273,3.44,0.9845,211.68,5,0.8023,0,0,92.28,healthy
2025-02-15,meta_capi,5,1,8.94,35541,0.0269,1.67,0.9747,172.66,7,0.8461,0,0,90.05,healthy
2025-02-15,google_analytics,5,1,7.28,81622,0.0276,2.58,0.984,157.63,6,0.9141,0,0,82.22,healthy
2025-02-15,segment,5,1,9.15,18077,0.0258,14.33,0.9696,214.06,9,0.888,0,0,90.74,healthy
2025-02-15,shopify,5,1,8.02,14153,0.0327,33.14,0.9896,131.49,7,0.8367,0,0,85.59,healthy
2025-02-15,stripe,5,1,9.45,3959,0.0241,2.86,0.9888,174.86,2,0.738,0,0,94.1,healthy
2025-02-16,meta_capi,6,1,9.31,37116,0.0297,6.52,0.9708,63.73,6,0.8339,0,0,91.51,healthy
2025-02-16,google_analytics,6,1,7.3,79437,0.0233,15.45,0.9841,71.88,2,0.8762,0,0,83.17,healthy
2025-02-16,segment,6,1,9.26,24118,0.0345,23.3,0.9645,30.15,6,0.859,0,0,90.46,healthy
2025-02-16,shopify,6,1,8.13,11820,0.0255,0.64,0.9833,250.2,6,0.8468,0,0,86.65,healthy
2025-02-16,stripe,6,1,9.03,3961,0.0233,30.92,0.9944,121.63,3,0.9043,0,0,92.25,healthy
2025-02-17,meta_capi,0,0,8.9,45944,0.0236,20.39,0.9798,233.2,5,0.7692,0,0,90.63,healthy
2025-02-17,google_analytics,0,0,7.54,82545,0.0378,13.71,0.9894,9.86,9,0.9081,0,0,82.46,healthy
2025-02-17,segment,0,0,8.93,31285,0.03,13.44,0.9639,27.11,4,0.8976,0,0,89.46,healthy
2025-02-17,shopify,0,0,8.74,20050,0.0301,1.1,0.9885,44.92,2,0.8806,0,0,89.92,healthy
2025-02-17,stripe,0,0,8.8,5221,0.0233,3.48,0.9914,0.55,1,0.8458,0,0,91.12,healthy
2025-02-18,meta_capi,1,0,8.35,56051,0.0285,10.78,0.9783,268.46,3,0.8124,0,0,87.49,healthy
2025-02-18,google_analytics,1,0,8.04,99741,0.0321,74.04,0.9893,32.12,8,0.8511,0,0,84.24,healthy
2025-02-18,segment,1,0,9.07,32239,0.0212,7.26,0.967,46.05,3,0.8193,0,0,91.29,healthy
2025-02-18,shopify,1,0,8.26,21348,0.0314,6.74,0.9855,1.02,7,0.8416,0,0,86.72,healthy
2025-02-18,stripe,1,0,8.65,4972,0.0286,0.67,0.9943,81.79,8,0.8177,0,0,89.31,healthy
2025-02-19,meta_capi,2,0,9.2,56448,0.0395,37.27,0.9772,38.4,6,0.8375,0,0,90.29,healthy
2025-02-19,google_analytics,2,0,7.02,81017,0.0304,15.2,0.9879,7.44,5,0.8285,0,0,80.95,healthy
2025-02-19,segment,2,0,9.95,25686,0.0266,0.42,0.9665,332.47,2,0.8269,0,0,95.19,healthy
2025-02-19,shopify,2,0,7.87,18313,0.043,1.85,0.9744,37.68,8,0.9299,0,0,82.97,healthy
2025-02-19,stripe,2,0,9.59,5083,0.0344,26.9,0.9921,36.0,2,0.791,0,0,93.93,healthy
2025-02-20,meta_capi,3,0,7.51,51609,0.0215,8.81,0.9751,67.12,7,0.8874,0,0,83.46,healthy
2025-02-20,google_analytics,3,0,8.82,89109,0.0533,36.03,0.9836,76.23,5,0.7749,0,0,87.47,healthy
2025-02-20,segment,3,0,9.19,29800,0.0399,13.33,0.9676,33.66,8,0.8485,0,0,89.53,healthy
2025-02-20,shopify,3,0,8.21,23648,0.0222,1.74,0.9804,57.83,6,0.9246,0,0,87.23,healthy
2025-02-20,stripe,3,0,9.49,5375,0.0328,17.69,0.9943,35.58,5,0.8306,0,0,93.38,healthy
2025-02-21,meta_capi,4,0,8.98,45892,0.0201,20.08,0.971,134.89,7,0.8757,0,0,90.72,healthy
2025-02-21,google_analytics,4,0,7.42,96284,0.0207,6.43,0.9894,165.15,5,0.8128,0,0,83.99,healthy
2025-02-21,segment,4,0,9.33,24602,0.0208,7.73,0.9683,26.45,7,0.8969,0,0,92.28,healthy
2025-02-21,shopify,4,0,8.03,18862,0.0304,1.97,0.979,69.93,5,0.8639,0,0,85.56,healthy
2025-02-21,stripe,4,0,9.74,5105,0.0273,2.31,0.9875,31.66,4,0.8753,0,0,94.93,healthy
2025-02-22,meta_capi,5,1,8.19,31866,0.0323,0.97,0.9709,0.38,3,0.8508,0,0,85.95,healthy
2025-02-22,google_analytics,5,1,7.86,64773,0.0356,33.37,0.9872,240.73,5,0.8256,0,0,84.62,healthy
2025-02-22,segment,5,1,9.26,22397,0.0538,21.47,0.9549,121.25,4,0.8092,0,0,88.27,healthy
2025-02-22,shopify,5,1,8.0,13623,0.0261,3.51,0.9877,46.17,5,0.8801,0,0,86.27,healthy
2025-02-22,stripe,5,1,10.0,3102,0.0313,14.04,0.9933,14.69,6,0.8462,0,0,95.93,healthy
2025-02-23,meta_capi,6,1,8.06,28813,0.0212,10.88,0.9784,180.47,1,0.7794,0,0,87.01,healthy
2025-02-23,google_analytics,6,1,7.39,67320,0.0276,13.56,0.99,62.38,8,0.7181,0,0,82.9,healthy
2025-02-23,segment,6,1,5.88,11418,0.1202,125.21,0.7626,1072.97,102,0.6596,1,2,38.8,degraded
2025-02-23,shopify,6,1,8.08,15943,0.0202,34.32,0.9824,151.58,3,0.8525,0,0,87.21,healthy
2025-02-23,stripe,6,1,9.45,3846,0.0264,0.89,0.9792,285.99,6,0.7678,0,0,92.96,healthy
2025-02-24,meta_capi,0,0,8.67,55626,0.0286,2.38,0.9717,101.05,5,0.8003,0,0,88.57,healthy
2025-02-24,google_analytics,0,0,7.67,82488,0.0216,0.12,0.985,59.36,5,0.881,0,0,84.92,healthy
2025-02-24,segment,0,0,9.42,29515,0.0279,8.51,0.9698,18.12,2,0.8191,0,0,92.6,healthy
2025-02-24,shopify,0,0,7.79,23685,0.0222,45.37,0.9637,124.38,5,0.8794,0,0,84.39,healthy
2025-02-24,stripe,0,0,9.71,5514,0.0218,9.72,0.9887,28.41,6,0.851,0,0,95.22,healthy
2025-02-25,meta_capi,1,0,6.37,37146,0.0888,79.58,0.8795,555.98,53,0.7802,1,1,59.71,risk
2025-02-25,google_analytics,1,0,7.87,119730,0.0205,21.47,0.9877,49.83,8,0.8409,0,0,85.9,healthy
2025-02-25,segment,1,0,8.64,35018,0.0211,10.58,0.9688,3.97,1,0.8201,0,0,89.46,healthy
2025-02-25,shopify,1,0,7.23,20640,0.0273,21.33,0.9883,43.55,9,0.9492,0,0,81.94,healthy
2025-02-25,stripe,1,0,9.32,4142,0.0207,42.4,0.9915,52.66,8,0.8722,0,0,93.29,healthy
2025-02-26,meta_capi,2,0,8.25,42557,0.0345,0.0,0.9773,73.92,3,0.8459,0,0,86.35,healthy
2025-02-26,google_analytics,2,0,7.84,109675,0.0389,8.24,0.9882,39.35,9,0.7926,0,0,83.82,healthy
2025-02-26,segment,2,0,9.04,32511,0.0218,22.76,0.9656,304.12,3,0.8096,0,0,91.01,healthy
2025-02-26,shopify,2,0,7.81,20110,0.0271,6.91,0.9765,175.74,9,0.8625,0,0,84.25,healthy
2025-02-26,stripe,2,0,9.72,5454,0.0283,44.09,0.9916,47.89,4,0.8889,0,0,94.95,healthy
2025-02-27,meta_capi,3,0,8.47,44699,0.0322,25.48,0.976,341.23,4,0.8727,0,0,87.53,healthy
2025-02-27,google_analytics,3,0,6.42,85268,0.04,2.57,0.9881,34.26,8,0.9049,0,0,76.72,healthy
2025-02-27,segment,3,0,9.03,27451,0.0237,6.53,0.9651,40.65,4,0.818,0,0,90.67,healthy
2025-02-27,shopify,3,0,7.44,16452,0.0247,43.36,0.9849,111.32,4,0.9118,0,0,83.58,healthy
2025-02-27,stripe,3,0,9.25,5960,0.0207,10.97,0.994,352.94,5,0.7666,0,0,93.36,healthy
2025-02-28,meta_capi,4,0,8.09,49660,0.0231,5.08,0.9747,345.9,2,0.8169,0,0,86.65,healthy
2025-02-28,google_analytics,4,0,7.23,103961,0.0298,15.68,0.9884,1.52,6,0.8364,0,0,81.98,healthy
2025-02-28,segment,4,0,8.89,31051,0.0321,17.1,0.9674,1.55,6,0.8638,0,0,89.02,healthy
2025-02-28,shopify,4,0,7.99,16741,0.0338,36.9,0.9872,29.94,2,0.8413,0,0,85.72,healthy
2025-02-28,stripe,4,0,10.0,4484,0.0325,1.44,0.9939,209.94,2,0.9145,0,0,96.24,healthy
2025-03-01,meta_capi,5,1,8.04,28875,0.0261,19.79,0.9753,111.74,7,0.8084,0,0,85.66,healthy
2025-03-01,google_analytics,5,1,7.93,70600,0.0207,6.96,0.9773,87.81,8,0.8944,0,0,85.67,healthy
2025-03-01,segment,5,1,8.19,22254,0.0475,0.99,0.9613,34.59,2,0.7482,0,0,84.07,healthy
2025-03-01,shopify,5,1,7.99,16391,0.0211,21.69,0.9874,106.47,2,0.8155,0,0,87.02,healthy
2025-03-01,stripe,5,1,9.77,4034,0.0368,17.33,0.9944,34.13,5,0.7981,0,0,94.39,healthy
2025-03-02,meta_capi,6,1,8.17,40793,0.0505,5.93,0.9778,70.45,6,0.9003,0,0,84.07,healthy
2025-03-02,google_analytics,6,1,7.96,80045,0.0338,8.68,0.9853,17.48,4,0.8741,0,0,85.29,healthy
2025-03-02,segment,6,1,9.06,18155,0.0209,0.29,0.9691,221.51,3,0.9372,0,0,91.35,healthy
2025-03-02,shopify,6,1,7.29,11523,0.025,4.0,0.9888,321.55,7,0.88,0,0,82.7,healthy
2025-03-02,stripe,6,1,10.0,3683,0.0276,1.84,0.9903,12.47,4,0.8379,0,0,96.36,healthy
2025-03-03,meta_capi,0,0,8.52,48385,0.0202,23.61,0.9796,64.29,4,0.7776,0,0,89.16,healthy
2025-03-03,google_analytics,0,0,8.12,112855,0.0385,9.96,0.988,156.81,5,0.8566,0,0,85.66,healthy
2025-03-03,segment,0,0,8.86,30501,0.0544,1.03,0.9648,7.7,6,0.897,0,0,86.51,healthy
2025-03-03,shopify,0,0,7.69,18956,0.0262,19.24,0.9847,123.36,1,0.8408,0,0,84.95,healthy
2025-03-03,stripe,0,0,9.4,5608,0.0348,11.93,0.9947,145.46,8,0.8497,0,0,92.45,healthy
2025-03-04,meta_capi,1,0,8.58,54999,0.0439,21.33,0.9755,106.17,6,0.8441,0,0,86.66,healthy
2025-03-04,google_analytics,1,0,6.96,88596,0.0255,35.76,0.9865,20.82,6,0.8108,0,0,80.95,healthy
2025-03-04,segment,1,0,9.05,31636,0.0239,4.71,0.9689,118.63,7,0.8474,0,0,90.6,healthy
2025-03-04,shopify,1,0,7.53,19458,0.0203,4.51,0.9898,211.35,2,0.9217,0,0,84.89,healthy
2025-03-04,stripe,1,0,9.84,5776,0.0239,34.68,0.9672,174.53,4,0.8349,0,0,94.76,healthy
2025-03-05,meta_capi,2,0,9.08,56133,0.0395,90.66,0.9786,4.12,2,0.8094,0,0,87.12,healthy
2025-03-05,google_analytics,2,0,7.67,92511,0.0306,3.96,0.9899,144.54,5,0.9216,0,0,84.27,healthy
